session_pitch,eligible_arm_limited,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2,session
1031_2,True,17.0,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.17647058823529413,0.46298197574677397,0.10078093278712506,0.10078093278712506,-1845.850905882353,1670.845788235294,-2572.62764117647,1451.0449152450892,17.0,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.17647058823529413,0.46298197574677397,0.10078093278712506,0.10078093278712506,-1845.850905882353,1670.845788235294,-2572.62764117647,1451.0449152450892,1031
1031_3,True,15.0,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.4448815763129384,0.032649153961068655,0.032649153961068655,-2028.8928999999998,1803.6459133333335,-3068.8295666666663,-105.07518784229954,15.0,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.4448815763129384,0.032649153961068655,0.032649153961068655,-2028.8928999999998,1803.6459133333335,-3068.8295666666663,-105.07518784229954,1031
1097_1,True,50.0,0.48,0.48,0.24,0.24,0.35676547917473267,0.06718469400722607,0.06718469400722607,-1330.156994,938.9089919999999,-1652.2758020000003,-1632.6543899312057,45.0,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.39690696810520404,0.07474398381583257,0.07474398381583257,-1357.195688888889,937.7241288888889,-1459.6851555555559,-446.5027957642891,1097
1097_2,True,49.0,0.4489795918367347,0.4489795918367347,0.20408163265306123,0.20408163265306123,0.37011826470883846,0.06168139563997415,0.06168139563997415,-1369.9403081632654,861.9791612244896,-2323.4180653061226,-1282.3009455446138,44.0,0.5,0.5,0.22727272727272727,0.22727272727272727,0.39353768281779855,0.065584316764856,0.065584316764856,-1433.0867136363638,902.8058431818182,-2153.501372727273,-15.2866888618651,1097
1097_3,True,50.0,0.38,0.38,0.14,0.14,0.21537068810804255,0.03238197038385878,0.03238197038385878,-1308.17363,886.658524,-2266.196996,-1724.6842026726504,46.0,0.41304347826086957,0.41304347826086957,0.15217391304347827,0.15217391304347827,0.22394545427832718,0.03367122579096124,0.03367122579096124,-1355.9439195652171,926.8573739130438,-2242.0147847826083,-798.8858822445748,1097
1170_1,True,32.0,0.5625,0.5625,0.4375,0.4375,0.3058886425759179,0.16945231070408548,0.16945231070408548,-1104.193615625,932.9015906249999,-334.93942187500005,559.7937526589112,32.0,0.5625,0.5625,0.4375,0.4375,0.3058886425759179,0.16945231070408548,0.16945231070408548,-1104.193615625,932.9015906249999,-334.93942187500005,559.7937526589112,1170
1170_2,True,33.0,0.5757575757575758,0.5757575757575758,0.45454545454545453,0.45454545454545453,0.35627107240219236,0.21236509972021433,0.21236509972021433,-1212.0645969696968,1049.1506818181817,-287.5688212121213,106.55752690283143,33.0,0.5757575757575758,0.5757575757575758,0.45454545454545453,0.45454545454545453,0.35627107240219236,0.21236509972021433,0.21236509972021433,-1212.0645969696968,1049.1506818181817,-287.5688212121213,106.55752690283143,1170
1250_1,True,25.0,0.44,0.44,0.12,0.12,0.3057317984564495,0.06256692304198662,0.06256692304198662,-1650.1832520000003,1379.382912,-2955.560436,-1768.8097849208762,24.0,0.4583333333333333,0.4583333333333333,0.125,0.125,0.31484915788470597,0.06443275815816969,0.06443275815816969,-1672.4535375000003,1395.2488833333334,-2941.8912333333337,-1344.4704679194685,1250
1250_3,True,26.0,0.34615384615384615,0.34615384615384615,0.07692307692307693,0.07692307692307693,0.2643935452692373,0.03952719830866307,0.03952719830866307,-1843.285838461539,1412.9596115384618,-3993.661523076924,-3849.48592524496,24.0,0.375,0.375,0.08333333333333333,0.08333333333333333,0.27619892381286915,0.041292118622159334,0.041292118622159334,-1890.6938958333337,1465.2803333333334,-3959.874716666667,-2960.1495844431774,1250
1313_1,True,46.0,0.5217391304347826,0.5217391304347826,0.0,0.0,0.4196171135020953,0.0,0.0,-1301.1176304347828,780.9088130434784,-2825.6656652173915,-989.7955683829869,43.0,0.5581395348837209,0.5581395348837209,0.0,0.0,0.4237400825677575,0.0,0.0,-1321.7057534883722,827.262511627907,-2775.3431325581396,-88.11926389116621,1313
1313_2,True,47.0,0.574468085106383,0.574468085106383,0.0,0.0,0.38980933804078716,0.0,0.0,-1254.5646574468087,807.1545191489363,-2706.8222595744687,-131.7978455097513,45.0,0.6,0.6,0.0,0.0,0.3941932382744944,0.0,0.0,-1246.6090022222222,833.6525711111111,-2623.0664488888897,479.72933036763476,1313
1313_3,True,40.0,0.5,0.5,0.0,0.0,0.3687448039448085,0.0,0.0,-1495.9499675000002,961.4986249999998,-3116.28694,-1412.4349024951257,39.0,0.5128205128205128,0.5128205128205128,0.0,0.0,0.37077487348065924,0.0,0.0,-1484.5010769230769,980.7530461538463,-3056.312833333333,-1086.2284935087605,1313
1346_1,True,33.0,0.3939393939393939,0.3939393939393939,0.3333333333333333,0.3333333333333333,0.32552556070954053,0.251870527579456,0.251870527579456,-1235.7287363636365,985.2648939393938,-1385.059578787879,-1452.8225017965901,32.0,0.40625,0.40625,0.34375,0.34375,0.33471416454049624,0.25898007218657354,0.25898007218657354,-1243.829375,988.1616031249999,-1347.146525,-1030.6524947926491,1346
