,mean,median,q1,q3
all_frame_n,26.047166666666662,25.0,19.5,32.4
all_torso_accelerating_fraction,0.44417914191884544,0.43279290959020356,0.33458080867183304,0.5652423366689672
all_torso_accelerating_raw_fraction,0.4437958091700876,0.4327936775085269,0.3331609362859363,0.5644276657482303
all_thorax_net_positive_fraction,0.6787667348272202,0.7120483420483421,0.5300992063492064,0.8967762987154648
all_both_accel_and_net_positive_fraction,0.3345507810141862,0.34001443333222386,0.20261212507074136,0.4413121775318202
all_stp_weighted_accelerating_fraction,0.35369579499901493,0.3530960432603784,0.2519926847592787,0.4495252649579011
all_stp_weighted_net_positive_fraction,0.6490222381722137,0.7210311135229404,0.4251940777497474,0.875948767231167
all_stp_weighted_both_fraction,0.2640449357596239,0.2501606345620679,0.13827521598437742,0.35154257983165715
all_mean_thorax_shoulder_stp_w,-1574.1186734224875,-1535.0772128346068,-1784.199057956529,-1347.3061550448442
all_mean_arm_shoulder_stp_w,1272.8508604487022,1277.9109767023078,1048.4637524250702,1451.7753647465377
all_mean_thorax_net_seg_pwr_w,746.7922516698163,946.3145095246575,42.54529893890043,1569.5357352432839
all_mean_torso_accel_deg_s2,-926.0855762178649,-1111.2586323842875,-2721.4079455800425,488.39603561314897
pre_mer_frame_n,25.227166666666665,24.299999999999997,18.729166666666668,31.35
pre_mer_torso_accelerating_fraction,0.45643588789917344,0.4445174991311617,0.35215508865359973,0.5722324907054921
pre_mer_torso_accelerating_raw_fraction,0.45602416166405796,0.4445174991311617,0.3581478563647681,0.5722324907054921
pre_mer_thorax_net_positive_fraction,0.6794990392219266,0.7105493000962226,0.5264874686716792,0.8933362650181345
pre_mer_both_accel_and_net_positive_fraction,0.3440917185606785,0.3465430947138264,0.21344398266553,0.452724191134098
pre_mer_stp_weighted_accelerating_fraction,0.360586457487906,0.35711526059531085,0.25435127439136934,0.4617027657187906
pre_mer_stp_weighted_net_positive_fraction,0.6493971468426385,0.7103667417505404,0.42362138827475676,0.8828190851443105
pre_mer_stp_weighted_both_fraction,0.26929176823027695,0.2503300781141192,0.1479399259262147,0.35666580238625123
pre_mer_mean_thorax_shoulder_stp_w,-1585.893371686538,-1535.0772128346068,-1798.323014204167,-1383.4963568964279
pre_mer_mean_arm_shoulder_stp_w,1284.0382778750243,1272.032698978286,1053.2036079781112,1460.6291550947785
pre_mer_mean_thorax_net_seg_pwr_w,751.8380366788111,929.8953508981659,75.2025752437428,1615.2415090556374
pre_mer_mean_torso_accel_deg_s2,-676.7264093754907,-496.87227639314733,-2521.8131900996523,1112.3977316781509
