session_pitch,marker_used,pitch_speed_mph,session_height_m,fp_poi_time,br_time_c3d_end,n_frames,sjm,sjm_x,sjm_y,sjm_z
1031_2,LSHO,90.4,1.9304,1.1861,1.3389,56,0.08100433093343784,0.04708225879045669,0.05190695033254619,0.04062795889946924
1031_3,LSHO,90.4,1.9304,0.6778,0.825,53,0.020985960548345377,0.0031397429408334047,0.0050394956491274095,0.020128488219551443
1097_1,LSHO,77.6,1.9304,0.825,1.0028,65,0.09405775824707903,0.04491414551083711,0.06663717923347756,0.04887809083119652
1097_2,LSHO,77.0,1.9304,0.8917,1.0611,60,0.08839185883569059,0.037632212724392385,0.05951566923076794,0.05343053799007227
1097_3,LSHO,76.1,1.9304,0.85,1.0306,66,0.09936510118874195,0.04895725333205261,0.0671839496216387,0.05443278050648584
1170_1,LSHO,80.9,1.9304,1.0,1.1667,61,0.08752145435305783,0.06062757882737267,0.054453839245225386,0.03192304886849393
1170_2,LSHO,82.6,1.9304,0.8861,1.0472,58,0.08832362066305786,0.061737615480223704,0.051442521033130635,0.03664963617286941
1250_1,RSHO,88.1,1.7526,0.6389,0.7778,50,0.09284657929937833,0.04424745776360838,0.06449028166160771,0.05003652006544766
1250_3,RSHO,88.6,1.7526,0.6639,0.8,49,0.09205097473997777,0.03877793761299293,0.06523498480492816,0.05209654751097855
1313_1,LSHO,85.8,1.8288,0.9417,1.1028,58,0.10376876500356762,0.041929614093258086,0.07306276689035358,0.060594522414835025
1313_2,LSHO,85.9,1.8288,0.8833,1.0444,58,0.10462076563166858,0.04712443004539161,0.07169178207485566,0.05987554657107459
1313_3,LSHO,85.8,1.8288,0.95,1.1111,58,0.10785255004851325,0.04855571141712544,0.07488525414350852,0.060553399182919763
1346_1,LSHO,84.6,1.8288,0.9694,1.1139,53,0.07069766485026469,0.036957912974605656,0.04298330444027858,0.0422458048004314
1346_2,LSHO,84.5,1.8288,1.0056,1.15,52,0.07096021450965065,0.035807674498194324,0.04455380236765112,0.042049033102691945
1346_3,LSHO,84.8,1.8288,0.975,1.1222,53,0.07331196376689467,0.03968636882191219,0.045132820623571185,0.041984100129098645
1370_1,LSHO,87.8,1.905,0.8306,0.9694,49,0.06846634137295668,0.021672449130256084,0.05336132907122379,0.037020445829936584
1370_2,LSHO,86.9,1.905,0.7889,0.9444,55,0.0857995954143523,0.03495788939759847,0.0639709917950999,0.04524631201416396
1370_3,LSHO,86.9,1.905,1.2056,1.3417,49,0.06920998849612704,0.022691918044575064,0.05331479779027599,0.03785012152786711
1371_2,RSHO,87.4,1.8034,0.5917,0.7472,55,0.09306713754651808,0.04781946179753519,0.07175631481380641,0.03501174729770697
1371_3,RSHO,87.8,1.8034,0.5917,0.7528,58,0.10131043295160924,0.0566029894902917,0.07567220706426571,0.03651879630583864
1393_1,RSHO,71.3,1.6764,0.8222,0.975,56,0.07544004856255017,0.03943243236051547,0.04188363585523674,0.04880620096667255
1393_2,RSHO,69.9,1.6764,0.8917,1.05,57,0.07658847149991838,0.040586654248082846,0.044194030056635636,0.0475962726586187
1393_3,RSHO,69.5,1.6764,0.8889,1.0361,52,0.0654252226437324,0.03440684865706713,0.03448424320974762,0.04367454056681776
1394_1,LSHO,86.3,1.905,0.8528,0.9917,50,0.0771785423928588,0.0274639378375337,0.04358926139831603,0.05746508344283217
1394_2,LSHO,86.7,1.905,0.85,0.9917,52,0.08715616368842055,0.034808401678427296,0.04980488489943497,0.06248236136406859
1394_3,LSHO,86.8,1.905,0.85,0.9972,53,0.08770461917697688,0.03526061275319945,0.04755627315603555,0.06470850250744477
1403_1,LSHO,78.7,1.778,0.7417,0.8889,53,0.08932712011152767,0.051755004150228025,0.05112040342347021,0.051840701062493603
1403_2,LSHO,78.6,1.778,0.8917,1.0389,53,0.08133415200154316,0.04608526181612337,0.047261580316110365,0.047515639016784114
1403_3,LSHO,77.9,1.778,0.6861,0.8278,52,0.08523666320458832,0.04785374067428232,0.04960468803900565,0.050146616857808975
1561_1,LSHO,86.0,1.9304,1.4917,1.6361,51,0.06824429274092968,0.017889661635716658,0.050515209271563506,0.04225466992557649
1561_2,LSHO,84.6,1.9304,1.3556,1.5139,57,0.08146574662289519,0.02782059154553333,0.06043223606639756,0.04701730960930831
1561_3,LSHO,86.0,1.9304,1.6306,1.7806,54,0.07383406084712005,0.024511110326154238,0.0547973312714288,0.042987515597957195
1562_1,LSHO,91.8,1.8542,1.2778,1.3806,37,0.047843726275121644,0.008247624954217365,0.0410112031907446,0.02321809723794773
1562_2,LSHO,90.3,1.8542,1.3611,1.4722,40,0.0583101831101059,0.01116668842575721,0.05095943903543451,0.026048379932924283
1562_3,LSHO,90.6,1.8542,1.3444,1.4556,41,0.05733140804019925,0.011360252056256862,0.049192246801661954,0.027165380094791868
1574_1,LSHO,89.8,1.9304,1.1861,1.3444,57,0.07954482193856746,0.0414597333138266,0.05226072660478706,0.04332765474295233
1574_2,LSHO,88.6,1.9304,1.225,1.3806,57,0.07827779444464741,0.0381986041746804,0.05362076907813904,0.04234492727226546
1574_3,LSHO,89.5,1.9304,1.1306,1.2889,57,0.07983564905794387,0.04072241234196424,0.05535388266871864,0.04063697413750121
1581_1,LSHO,82.3,1.7018,1.4389,1.5639,45,0.067710398484507,0.021142914172809307,0.04234246791037679,0.04842303846797162
1581_2,LSHO,82.3,1.7018,1.4972,1.6167,44,0.06744434597887457,0.020576835071636882,0.042424973815665824,0.04822297439699109
1581_3,LSHO,83.0,1.7018,1.4,1.525,46,0.07092442686839374,0.02373145818757217,0.042244941918531655,0.05179244251048151
1601_1,LSHO,86.3,1.8542,1.7667,1.9167,54,0.06568226185341126,0.03464138167231885,0.0362550806979457,0.04242291033861611
1601_2,LSHO,86.1,1.8542,1.6222,1.7861,59,0.08665086988116207,0.052403811360512274,0.049474538638077666,0.04810908264146472
1601_3,LSHO,86.2,1.8542,1.2667,1.4139,53,0.06994233711722142,0.03432710054041726,0.031772730378569564,0.05200071436238021
1603_1,RSHO,85.0,1.7526,1.1417,1.2194,27,0.018564615844996708,0.004436545236249857,0.012902977123882508,0.012588693704256058
1603_2,RSHO,85.6,1.7526,1.1194,1.2,30,0.020031027338862365,0.004600828845137102,0.014583820104387201,0.01293779816471402
1603_3,RSHO,85.1,1.7526,1.3,1.3722,26,0.016768812140801483,0.004742927990528011,0.011141215206764789,0.011600474921601706
1612_1,LSHO,86.4,1.8034,1.1167,1.2444,45,0.0646140030136578,0.027235668682672114,0.04434886730005005,0.038293154819879285
1612_2,LSHO,85.8,1.8034,1.0861,1.2111,45,0.06371069106556973,0.027016707081763285,0.04353993339100461,0.03786058497722337
1612_3,LSHO,84.6,1.8034,0.9444,1.0722,46,0.06557976573621417,0.028165776473954466,0.045531502221906155,0.037871849902698415
1615_1,LSHO,85.4,1.778,1.0528,1.1806,46,0.0788247571248128,0.0193384144754409,0.0550944643176444,0.052952507616859774
1615_2,LSHO,84.4,1.778,1.2306,1.3361,37,0.05214074196763405,0.011072303062351097,0.03565154183218703,0.03640094288364881
1620_1,RSHO,85.0,1.8542,1.3389,1.4778,50,0.0707696850044091,0.03701660387526011,0.04472352283388511,0.04047129672363268
1620_3,RSHO,84.6,1.8542,1.3139,1.4528,50,0.07332894663149496,0.037892709169711936,0.04736605303649238,0.04120356811743927
1623_1,LSHO,85.8,1.7526,1.5083,1.6528,53,0.08609521766623163,0.0496679819759743,0.0442189784256747,0.05468235564073486
1623_2,LSHO,85.7,1.7526,1.8278,1.9694,50,0.0812062484570986,0.043407439201421774,0.037533962220859224,0.057458251717695134
1623_3,LSHO,85.3,1.7526,1.7,1.8444,52,0.09014227530070587,0.052606122841981275,0.04445483255568569,0.05815490949497363
1665_1,RSHO,87.1,2.032,1.2333,1.3722,50,0.08046232580234464,0.037304045187543544,0.061606692075121414,0.03587770307209672
1665_2,RSHO,87.3,2.032,1.3528,1.4833,46,0.06872710644376456,0.028920826764306358,0.05530021504453011,0.02879040040413212
1665_3,RSHO,87.3,2.032,1.2139,1.3528,50,0.08412986948564204,0.04060258006255654,0.06323437578798213,0.03782431956610864
1668_1,LSHO,87.9,1.8542,1.1111,1.2361,45,0.0459780225004944,0.025157454540029132,0.02953668901784759,0.024671137711611484
1668_2,LSHO,87.6,1.8542,1.3278,1.4528,45,0.0459329522806988,0.02530249626215714,0.029532388674090946,0.024442950053684236
1668_3,LSHO,87.8,1.8542,1.0861,1.2222,49,0.05595662842691111,0.031618122468898835,0.03914094343520877,0.024483160405693143
1688_1,LSHO,93.1,1.9812,1.525,1.6667,52,0.08373273010157417,0.05047409730334289,0.055742914166037036,0.03682747767569167
1688_2,LSHO,91.4,1.9812,1.4444,1.5722,46,0.07019438049485019,0.040557303316644366,0.04620661510514428,0.03387188983895884
1717_1,RSHO,72.0,1.9304,1.1111,1.2417,48,0.057590591728319755,0.028696851948463446,0.032058436472977035,0.03828085154191423
1717_3,RSHO,71.4,1.9304,1.1611,1.2861,45,0.04249644716487914,0.027825425846260635,0.019225917910457333,0.025730483450801506
1718_1,RSHO,91.2,1.905,1.4,1.5222,44,0.0646296411485111,0.022292590124943414,0.048854011371731884,0.035962710039668666
1718_2,RSHO,90.8,1.905,1.475,1.6083,48,0.07561641682353604,0.031160728439467548,0.05595009690468052,0.04020495184314192
1718_3,RSHO,90.8,1.905,1.3639,1.4889,45,0.061797970642198455,0.01819879102883867,0.04765602778551526,0.03488117251883716
1729_1,LSHO,90.6,2.0066,1.9667,2.1139,53,0.07317564982143274,0.028357025707795976,0.04193376913403354,0.05284045633801741
1729_2,LSHO,90.5,2.0066,1.8167,1.9639,53,0.07733791406498276,0.029715261797094744,0.04422914133869427,0.05605300370804927
1729_3,LSHO,90.4,2.0066,1.9528,2.0944,50,0.07237361450513632,0.025755728010024556,0.04079339842831306,0.053948875761044554
1778_1,LSHO,83.3,1.8034,0.7611,0.9,51,0.08189034103490733,0.03331139953571696,0.058861799335884035,0.04616998153267321
1778_2,LSHO,83.4,1.8034,0.7278,0.875,53,0.08329351942017395,0.03324163117339955,0.05907449837768312,0.04840462762748705
1779_1,RSHO,83.7,2.0066,0.95,1.1,55,0.07026035445112137,0.030365924570225182,0.040757088188970135,0.04851069773719109
1779_2,RSHO,85.2,2.0066,0.9083,1.0556,54,0.06742626158359648,0.027525886913635316,0.03869513965698936,0.04786765575713341
1779_3,RSHO,83.5,2.0066,0.9306,1.0861,55,0.0733878189589029,0.03228320493090786,0.04241513990937785,0.05044326077288831
1782_1,RSHO,73.8,1.8288,1.4722,1.6,47,0.05300683665120712,0.025426076347103584,0.034171231833154556,0.0315525955883794
1782_2,RSHO,74.0,1.8288,1.6444,1.7778,49,0.057753150752950975,0.03278695505212513,0.032191452628857836,0.03498788901815899
1782_3,RSHO,74.3,1.8288,1.3972,1.5333,49,0.05930952178455619,0.032460314399491846,0.030837200676514135,0.03889748600919195
1782_4,RSHO,75.2,1.8288,1.4389,1.5694,46,0.04863479480897759,0.02470916871842005,0.030490273755232184,0.02872531033230112
1783_2,LSHO,79.6,1.8034,1.1278,1.3083,64,0.11798924513576328,0.06735395182455038,0.06579449293194017,0.07110549796712108
1783_3,LSHO,79.8,1.8034,1.1472,1.3222,63,0.11768976284155426,0.06922417124748133,0.061669577615088705,0.07249660398651246
1783_4,LSHO,80.2,1.8034,0.9583,1.1389,66,0.12281339113089607,0.07275658691028432,0.06561198985278768,0.0740585909249858
1783_5,LSHO,80.6,1.8034,1.1389,1.3194,64,0.12322826300045928,0.06980951107285631,0.06858976973152353,0.0748817765150887
1808_1,LSHO,81.1,1.8288,1.2444,1.3667,45,0.061054778118943234,0.012435881071274031,0.04438337792769569,0.04003936259310148
1808_2,LSHO,80.8,1.8288,1.1222,1.2389,43,0.06012191542706218,0.01120828327136717,0.043650473698538104,0.03979516612128717
1808_3,LSHO,81.3,1.8288,1.1417,1.2556,41,0.05303663948654024,0.008124396427664202,0.037789082563842065,0.036316174766824284
1808_4,LSHO,81.2,1.8288,1.0444,1.1556,41,0.053609979922784365,0.00911689873349585,0.03830724692407579,0.03637948512420716
1808_5,LSHO,81.2,1.8288,1.1,1.2056,39,0.0489468533184247,0.006587957337652121,0.031883548339558705,0.036549043943332936
1826_1,LSHO,89.3,1.905,1.2778,1.425,53,0.07260105768223263,0.03019696487813034,0.048924515353896934,0.04433338117168751
1826_2,LSHO,88.9,1.905,1.1639,1.3,49,0.06184206924749254,0.01843259975746518,0.04356748008038693,0.03983158890174789
1826_3,LSHO,88.8,1.905,1.175,1.3194,52,0.07474700982440673,0.02935669785555679,0.050250023760515274,0.046906661368883974
1826_4,LSHO,89.6,1.905,1.1972,1.3444,53,0.07549353730546271,0.030197562066643188,0.051484134164053987,0.04622515926960351
1826_5,LSHO,89.1,1.905,1.2361,1.3778,52,0.07236566459524532,0.02599430796290818,0.04827855819798642,0.04722569410992992
1830_1,LSHO,83.5,1.6764,1.5167,1.6667,54,0.08130584281541454,0.043579671232561276,0.05979479264884247,0.03370511983762563
1830_2,LSHO,83.4,1.6764,1.3944,1.5444,54,0.08397566862211785,0.04580377779562262,0.05863287038863403,0.038937300499272125
1830_3,LSHO,83.4,1.6764,1.3111,1.4583,53,0.08234766241362465,0.04416548376019234,0.059394388661405895,0.03609507092047796
1830_4,LSHO,83.7,1.6764,1.3444,1.4861,51,0.0769289656682433,0.04018451129035182,0.053616333061862045,0.037796291354322324
1830_5,LSHO,83.5,1.6764,1.2972,1.4472,54,0.08337762626453862,0.042624610794120894,0.06086615110153366,0.03781907939445468
1845_1,LSHO,87.5,1.905,0.7806,0.9111,46,0.06936280643617644,0.03845658888016123,0.04118891527916918,0.0404445663412301
1845_2,LSHO,87.0,1.905,0.8556,0.9944,49,0.07438557746096401,0.044138799466592125,0.040998525156314275,0.04363601094114939
1845_3,LSHO,87.5,1.905,0.9389,1.0778,50,0.07588893915068215,0.043703356626574714,0.04168813074175199,0.04594831292055193
2653_1,LSHO,90.9,1.905,1.3306,1.4611,46,0.06849802550833925,0.017056200620785545,0.043518925673778824,0.050071634955578634
2653_2,LSHO,89.4,1.905,1.1889,1.3167,46,0.069894349028197,0.01782579777523025,0.046764361706835886,0.04879093598102254
2653_3,LSHO,89.1,1.905,1.125,1.25,46,0.06959082814754974,0.019227030614487793,0.045708648747890226,0.04882544506354596
2653_4,LSHO,87.8,1.905,1.1778,1.3139,49,0.07508352195051039,0.02027270510193024,0.05190616246343331,0.05032199315073496
2653_5,LSHO,87.7,1.905,1.1333,1.2611,46,0.06826675262709296,0.01882853256889385,0.046499938104266204,0.04629893769677895
2655_1,RSHO,84.8,1.8034,1.0722,1.2028,48,0.0726025636639443,0.040024740745826515,0.04646430577899342,0.03886155770530381
