session_pitch,pitch_speed_mph,session_height_m,p_throws,fp_poi_time,BR_time,n_frames,sjm,sjm_x,sjm_y,sjm_z,fp_local_x,fp_local_y,fp_local_z,br_local_x,br_local_y,br_local_z,pattern,peak_disp_m,peak_tau,final_disp_m,max_disp_norm_height,final_disp_norm_height,late_extra_norm_height,recovery_ratio
1031_2,90.4,1.9304,R,1.1861,1.3389,56,0.07908951774767514,0.046126949338493026,0.050454602855659385,0.03977171624360218,-3.625238145219026e-17,0.13418473845995801,0.6407706637045993,-2.853710449331006e-17,0.159976562253891,0.5262818869478855,late_pull,0.12946589135637201,0.7454188481675398,0.11735799153813921,0.06706687285348738,0.06079464957425364,0.019265537547063755,0.09352192837342932
1031_3,90.4,1.9304,R,0.6778,0.825,54,0.0778577846141625,0.04231895543592477,0.05232701327003993,0.03915130033695684,1.7797148777022196e-17,0.13477982561376203,0.6427090096673017,-2.5297398155433797e-17,0.16296018443610122,0.5400713316669863,late_pull,0.12019839066224432,0.7921195652173916,0.10643601631333363,0.06226605401069432,0.055136767671639886,0.015351355689129246,0.11449715984619754
1097_1,77.6,1.9304,R,0.825,1.0028,65,0.09005842832639795,0.046024557539082286,0.06203758648624305,0.0462990116407961,-8.093210516099558e-18,0.15085826104487524,0.5849335860373521,-6.624256171405167e-18,0.1737007246845293,0.4786990920652236,late_pull,0.1109518830293081,0.9218222722159735,0.10866253197235527,0.0574761101477974,0.05629016368232246,0.03385295994574803,0.02063372873399626
1097_2,77.0,1.9304,R,0.8917,1.0611,62,0.08693340572526978,0.04076017068397574,0.056828878405635476,0.051638203841390846,-1.7992502687950095e-17,0.15398306028040462,0.5816893884597527,3.6869901901142494e-17,0.16706063164977075,0.4659708953923835,late_pull,0.11999929093972328,0.9179456906729632,0.11645510942291729,0.06216291490868384,0.060326931943077755,0.032056759251849545,0.029535020490964972
1097_3,76.1,1.9304,R,0.85,1.0306,66,0.09459223611400282,0.04942706588625494,0.062284176080712544,0.05123804934684641,-1.3628092240862222e-17,0.15356591102438277,0.5797646039309844,2.107775514034442e-18,0.170581356354453,0.47137983449048293,late_pull,0.11450497631880882,0.9075304540420823,0.10971227655304246,0.05931670965541278,0.05683396008756862,0.03689429224528892,0.04185582076732071
1170_1,80.9,1.9304,R,1.0,1.1667,61,0.08595259706646098,0.06014129779008354,0.05260198814383033,0.03168444548844467,-1.8482371597985464e-17,0.13829557979430845,0.5688606332919831,-5.6520040907393096e-18,0.1529980007781349,0.4726728855751025,late_pull,0.09733477492586301,0.9832033593281335,0.09730490220760683,0.050422075697193855,0.05040660081206322,0.033050346826671954,0.00030690694337075463
1170_2,82.6,1.9304,R,0.8861,1.0472,59,0.08664830812798455,0.060906037157301064,0.04974175318506578,0.036388761030180926,-1.522813345001945e-18,0.13734975702889035,0.5720215898408947,1.0119364577661008e-16,0.15293711938852736,0.47008134669771734,late_pull,0.10322802132543839,0.9826194909993798,0.10312506502989825,0.05347493852333112,0.05342160434619678,0.03228713049874593,0.0009973677129347812
1250_1,88.1,1.7526,L,0.6389,0.7778,51,0.09264316241380688,0.04829901436679746,0.06257927618517356,0.04830936705615857,6.746392759631289e-18,-0.13190333218290912,0.5300585306917013,1.1083386857727648e-16,-0.16013098913433013,0.41036315480176955,late_pull,0.12297879340113546,1.0,0.12297879340113546,0.07016934463148207,0.07016934463148207,0.03502911255165063,0.0
1250_3,88.6,1.7526,L,0.6639,0.8,50,0.0922860170956376,0.04334639763994441,0.06387353993764291,0.050576374512715634,9.510789004202328e-18,-0.1338093626959537,0.5293808052384433,3.539147276982058e-17,-0.16036078493224148,0.40758855621314416,late_pull,0.12465283769497637,1.0,0.12465283769497637,0.07112452224978681,0.07112452224978681,0.034515451840161616,0.0
1313_1,85.8,1.8288,R,0.9417,1.1028,59,0.10470365175464093,0.04621727694947353,0.0720947819993685,0.06024251331573338,-3.488456357581273e-17,0.12918269325639045,0.5704346297017964,-2.94757274823044e-17,0.15864148566892383,0.42507217213639936,late_pull,0.14831744509617398,1.0,0.14831744509617398,0.08110096516632435,0.08110096516632435,0.04262166158263724,0.0
1313_2,85.9,1.8288,R,0.8833,1.0444,59,0.10308390334281957,0.04838809622422128,0.0693031552661811,0.059008100650155375,-3.505323993336113e-17,0.12825509097659568,0.5715875231655998,-1.4402840439418035e-18,0.1572992883742506,0.4215099629628632,late_pull,0.15286215842673417,1.0,0.15286215842673417,0.083586044634041,0.083586044634041,0.043141431836137195,0.0
1313_3,85.8,1.8288,R,0.95,1.1111,59,0.10618710853770029,0.04968932986694877,0.07246546774078601,0.059627414014696234,3.5873764782542434e-17,0.12717511417894464,0.5711889685853294,1.6006047382017529e-16,0.15716756685409886,0.422742053064469,late_pull,0.15144647221090637,1.0,0.15144647221090637,0.08281193799808967,0.08281193799808967,0.04151950365592879,0.0
1346_1,84.6,1.8288,R,0.9694,1.1139,53,0.06918761235978589,0.03780232667134971,0.04105990663123677,0.040890021639939,7.14234324401584e-18,0.12221239931149505,0.5697620046603035,1.6265856002837314e-16,0.15840804185565815,0.4449162783889301,late_pull,0.130093137042659,0.9806228373702428,0.12998684513215758,0.07113579234616088,0.07107767122274583,0.03164951394063283,0.0008170447182511886
1346_2,84.5,1.8288,R,1.0056,1.15,53,0.0716204371299442,0.03892233742647554,0.043530776891900366,0.04146818210545847,-6.729559058932666e-18,0.1235506609822171,0.5707517469713581,-8.278539899995928e-17,0.15816410658898183,0.4415899572985205,late_pull,0.13371932742974293,1.0,0.13371932742974293,0.07311861736097054,0.07311861736097054,0.03688719752333139,0.0
1346_3,84.8,1.8288,R,0.975,1.1222,54,0.07162060349094256,0.040352702216952065,0.04297847237801359,0.04066965920989663,2.4121909114384752e-17,0.12226953311070776,0.5726021601189515,8.567663303189699e-17,0.15811103584146471,0.44304474700095375,late_pull,0.13450271470423342,0.9809782608695643,0.13442372042101197,0.0735469787315362,0.0735037841322244,0.03393769811874006,0.0005873062368677893
1370_1,87.8,1.905,R,0.8306,0.9694,51,0.06966558431534377,0.02388064460765977,0.05380419821644935,0.03725743825608453,-4.42890308583842e-18,0.15536315357201042,0.5942743772973557,1.2598100578667901e-17,0.1747964936193652,0.48648580484776244,late_pull,0.12072397511410665,0.8198847262247837,0.1095263943354173,0.06337216541422921,0.05749417025481223,0.017078361895082463,0.0927535791304548
1370_2,86.9,1.905,R,0.7889,0.9444,57,0.08592573025866991,0.03730460631413543,0.063032610528698,0.04492758037297956,4.334931717897291e-17,0.15345125015066946,0.5978363959539406,-2.496567655065888e-17,0.17409928360216018,0.48231161291141905,late_pull,0.12453534874766518,0.8218649517684884,0.11735551449521042,0.06537288648171401,0.06160394461690836,0.02589212335142643,0.05765298226291249
1370_3,86.9,1.905,R,1.2056,1.3417,50,0.07054359050217493,0.024773103961622567,0.053900871741406044,0.03817574500336149,-1.8561006950706368e-17,0.15472909957170758,0.5957308668733966,3.9585564445672104e-17,0.17581849052461737,0.48793040834697443,late_pull,0.11512078631204876,0.8361498897869214,0.10984398604052723,0.06043085895645604,0.057660885060644214,0.017990305015851606,0.04583707634881972
1371_2,87.4,1.8034,L,0.5917,0.7472,57,0.09588852161907047,0.05080375276315707,0.07321973451528815,0.03539007997987115,-1.4265777149202286e-18,-0.14962262557203362,0.5449204757732371,8.085680878023352e-17,-0.18514023603210092,0.45260410736313256,late_pull,0.09932598089896835,0.9646302250803862,0.0989131565021723,0.055077066041348766,0.054848151548282306,0.027796415844439804,0.004156257940366681
1371_3,87.8,1.8034,L,0.5917,0.7528,59,0.10384045265464062,0.059946929587789195,0.07640658431778909,0.036759204471885555,2.479337134089195e-17,-0.15014922082971405,0.5423054734042703,-2.4993894946732946e-17,-0.18545291979797013,0.45427055488817203,late_pull,0.09517926593930534,0.9652389819987582,0.09484987105408896,0.052777678795223104,0.05259502664638403,0.0290615406034808,0.0034607840475091934
1393_1,71.3,1.6764,L,0.8222,0.975,56,0.07390072107623114,0.039418773350410524,0.040204798555190296,0.0478649251150824,9.625224868532992e-17,-0.11802858503929707,0.552232449348661,-2.310824965448949e-17,-0.13079918152701317,0.457084291035979,late_pull,0.10195963152173332,0.8730366492146598,0.09600135501620416,0.06082058668678915,0.05726637736590561,0.017989444117422232,0.05843760335931692
1393_2,69.9,1.6764,L,0.8917,1.05,58,0.07694467049115804,0.04205012658923765,0.043780364911708475,0.0472815906989139,-3.1246981279081965e-17,-0.11721001475225902,0.5532205527109195,5.288560591394828e-17,-0.130804721428615,0.45557023317155215,late_pull,0.10472743601349972,0.8774478837650026,0.09859209377915001,0.06247162730464074,0.05881179538245647,0.023398919282122607,0.05858390568789292
1393_3,69.5,1.6764,L,0.8889,1.0361,54,0.06677949096890373,0.03535653351995098,0.034938661584188443,0.044594908658097204,4.8263585556725225e-17,-0.11775856308652412,0.5487991443322384,-8.901541961743791e-17,-0.13256668587893325,0.4673428439540679,late_pull,0.09122756772265526,0.8301630434782614,0.08279136049089791,0.05441873521990889,0.04938639972017294,0.014115751509824137,0.09247431935711162
1394_1,86.3,1.905,R,0.8528,0.9917,51,0.078712011957598,0.03143250683222117,0.04336031805827579,0.05768414997675343,1.678745877840751e-17,0.14485661055176036,0.5753976167655335,-4.2333081036910947e-17,0.17992425361320086,0.4144069834857184,late_pull,0.16476566266586157,1.0,0.16476566266586157,0.08649116150438928,0.08649116150438928,0.042064771282098394,0.0
1394_2,86.7,1.905,R,0.85,0.9917,52,0.08535687386672067,0.03611903252738171,0.04789064746319894,0.06072641345527333,1.2088855373321274e-17,0.14557980619922567,0.5743735152555313,6.268250322718209e-17,0.18095599834774329,0.4111704137726491,late_pull,0.1669931953840059,1.0,0.1669931953840059,0.08766047001785086,0.08766047001785086,0.04660926089998909,0.0
1394_3,86.8,1.905,R,0.85,0.9972,54,0.08573905092189318,0.03640743202261813,0.045381321026817655,0.06297792826353013,2.9898470544344705e-17,0.14450053917933972,0.5753731390818312,-8.693707285920552e-17,0.17970454078117398,0.4028990605879187,late_pull,0.17603019479937593,1.0,0.17603019479937593,0.09240430173195587,0.09240430173195587,0.045906176854312974,0.0
