session_pitch,pitcher,pkh_time,fp_poi_time,pkh_fp_duration,pelvis_angle_z_pkh,pelvis_angle_z_fp,zero_crossing_count,first_zero_crossing_from_fp,stable_zero_crossing_from_fp,stable_zero_crossing_phase_pct,pitch_speed_mph
1031_2,1031,0.625,1.1861,0.5610999999999999,-29.2541,31.7105,1,-0.10325308219178075,-0.10325308219178075,81.59809620535007,90.4
1031_3,1031,0.0917,0.6778,0.5861,-24.859,33.967,1,-0.11859364161849706,-0.11859364161849706,79.76563016234482,90.4
1097_1,1097,0.1056,0.825,0.7193999999999999,-21.1505,22.1156,1,-0.060934937804218436,-0.060934937804218436,91.52975565690598,77.6
1097_2,1097,0.1722,0.8917,0.7195,-28.2179,21.9905,1,-0.058397156123041194,-0.058397156123041194,91.88364751590811,77.0
1097_3,1097,0.1472,0.85,0.7028,-29.58,15.3995,1,-0.040524427480916,-0.040524427480916,94.23386063162835,76.1
1170_1,1170,0.2667,1.0,0.7333000000000001,-31.6203,24.621,1,-0.1620785423268447,-0.1620785423268447,77.89737592706332,80.9
1170_2,1170,0.1611,0.8861,0.725,-33.3981,24.2283,1,-0.06609363359295628,-0.06609363359295628,90.88363674579914,82.6
1250_1,1250,0.0972,0.6389,0.5417000000000001,-13.1601,28.1034,1,-0.07975993338091836,-0.07975993338091836,85.27599531458033,88.1
1250_3,1250,0.1333,0.6639,0.5306000000000001,-16.344,30.818,1,-0.07897309034509503,-0.07897309034509503,85.11626642572652,88.6
1313_1,1313,0.1444,0.9417,0.7973,-28.4524,34.2978,1,-0.18913941513032417,-0.18913941513032417,76.27750970396035,85.8
1313_2,1313,0.1,0.8833,0.7833,-32.1941,34.3614,1,-0.18181054168018163,-0.18181054168018163,76.78915591980319,85.9
1313_3,1313,0.1611,0.95,0.7888999999999999,-29.7999,32.6341,1,-0.17087109717868332,-0.17087109717868332,78.34058851835678,85.8
1346_1,1346,0.2417,0.9694,0.7277,-32.383,41.1683,1,-0.08479809725158571,-0.08479809725158571,88.34710770213196,84.6
1346_2,1346,0.2389,1.0056,0.7667,-33.6494,38.0058,1,-0.07335513577331765,-0.07335513577331765,90.43235479675002,84.5
1346_3,1346,0.2222,0.975,0.7527999999999999,-33.7616,40.5144,1,-0.08300425751515927,-0.08300425751515927,88.97392966057926,84.8
1370_1,1370,0.1722,0.8306,0.6584,-23.3014,32.6846,1,-0.060811294117647074,-0.060811294117647074,90.7637767136016,87.8
1370_2,1370,0.1667,0.7889,0.6222000000000001,-24.3249,20.8489,1,-0.04034810787298826,-0.04034810787298826,93.5152510650935,86.9
1370_3,1370,0.5083,1.2056,0.6973,-21.9589,33.4929,1,-0.05980052034937744,-0.05980052034937744,91.4239896243543,86.9
1371_2,1371,0.0,0.5917,0.5917,-20.0719,26.7933,1,-0.05611354018566528,-0.05611354018566528,90.51655565562527,87.4
1371_3,1371,0.0167,0.5917,0.575,-22.2269,18.9766,1,-0.0411640040106952,-0.0411640040106952,92.84104278074867,87.8
1393_1,1393,0.1417,0.8222,0.6805000000000001,-28.116,32.2019,1,-0.14693483652762118,-0.14693483652762118,78.40781241328122,71.3
1393_2,1393,0.2,0.8917,0.6917,-26.3288,27.23,1,-0.17115751947273816,-0.17115751947273816,75.25552703878297,69.9
1393_3,1393,0.1972,0.8889,0.6917,-23.4205,38.4945,1,-0.15389200000000003,-0.15389200000000003,77.75162642764205,69.5
1394_1,1394,0.1722,0.8528,0.6806,-42.5952,29.5002,1,-0.05163930292918062,-0.05163930292918062,92.41267955786357,86.3
1394_2,1394,0.1528,0.85,0.6972,-40.7336,26.9883,1,-0.04732709659562695,-0.04732709659562695,93.21183353476378,86.7
1394_3,1394,0.1528,0.85,0.6972,-46.8883,24.0628,1,-0.041465870307167196,-0.041465870307167196,94.05251429902935,86.8
1403_1,1403,0.1722,0.7417,0.5695,-34.8857,20.4145,1,-0.04079953982300888,-0.04079953982300888,92.83590169920828,78.7
1403_2,1403,0.3222,0.8917,0.5695000000000001,-34.6929,25.3789,1,-0.058086962981305,-0.058086962981305,89.80035768546006,78.6
1403_3,1403,0.1139,0.6861,0.5722,-32.9995,24.4626,1,-0.05128792134831461,-0.05128792134831461,91.0367141998751,77.9
1561_1,1561,0.6722,1.4917,0.8195,-35.1638,42.1042,1,-0.07923831578947382,-0.07923831578947382,90.33089496162614,86.0
1561_2,1561,0.5861,1.3556,0.7695,-38.4732,31.5977,1,-0.05923066004258337,-0.05923066004258337,92.30270824657786,84.6
1561_3,1561,0.8333,1.6306,0.7973,-37.8684,36.8939,1,-0.07026451150797453,-0.07026451150797453,91.18719283732916,86.0
1562_1,1562,0.5917,1.2778,0.6861,-30.6516,56.8348,1,-0.11606761133603238,-0.11606761133603238,83.08298916542306,91.8
1562_2,1562,0.6889,1.3611,0.6722,-31.1455,51.4191,1,-0.10439357063403776,-0.10439357063403776,84.46986452930115,90.3
1562_3,1562,0.6917,1.3444,0.6527000000000001,-26.0841,51.469,1,-0.12625382215288616,-0.12625382215288616,80.65668421129368,90.6
1574_1,1574,0.4806,1.1861,0.7054999999999999,-39.5078,24.3294,1,-0.040835867814884796,-0.040835867814884796,94.21178344225586,89.8
1574_2,1574,0.5194,1.225,0.7056000000000001,-46.3653,25.7808,1,-0.04442198115900653,-0.04442198115900653,93.7043677495739,88.6
1574_3,1574,0.4444,1.1306,0.6862,-39.2228,23.9299,1,-0.04230395146235222,-0.04230395146235222,93.83504059132144,89.5
1581_1,1581,0.8167,1.4389,0.6222000000000001,-24.755,26.5626,1,-0.053061673938913145,-0.053061673938913145,91.4719264000461,82.3
1581_2,1581,0.9,1.4972,0.5972000000000001,-23.8247,29.034,1,-0.060327497494153226,-0.060327497494153226,89.89827570426101,82.3
