column,timing_method,timing_confidence,timing_n,median_phase_coordinate,nearest_stage_index,value_match_r,median_abs_value_error
max_shoulder_internal_rotational_velo,full_signal:joint_velos.csv:shoulder_velo_z:max:window=all,validated_mapping,411,6.0,6,1.0,0.0
max_elbow_extension_velo,full_signal:joint_velos.csv:elbow_velo_x:max:window=all,validated_mapping,411,4.66467065868263,5,1.0,0.0
max_torso_rotational_velo,full_signal:joint_velos.csv:torso_velo_z:max:window=all,validated_mapping,411,3.029443838604143,3,1.0,0.0
lead_knee_extension_angular_velo_max,full_signal:joint_velos.csv:lead_knee_velo_x:max:window=fp_br,validated_mapping,411,5.457516339869282,5,0.9453425256663762,0.0
max_pelvis_rotational_velo,full_signal:joint_velos.csv:pelvis_velo_z:max:window=all,validated_mapping,411,2.848418756815701,3,1.0,0.0
max_rear_hip_internal_rotation_velo,full_signal:joint_velos.csv:rear_hip_velo_z:negative_min:window=all,validated_mapping,411,3.9252717391304355,4,0.9999999999999998,0.0
max_rotation_hip_shoulder_separation,full_signal:joint_angles.csv:torso_pelvis_angle_z:max:window=all,validated_mapping,411,1.9472687085569935,2,1.0,0.0
max_elbow_flexion,full_signal:joint_angles.csv:elbow_angle_x:max:window=fp_br,validated_mapping,411,3.429305912596406,3,0.9843039613158749,0.0
max_shoulder_external_rotation,full_signal:joint_angles.csv:shoulder_angle_z:max:window=all,validated_mapping,411,4.0,4,1.0,0.0
torso_rotation_min,full_signal:joint_angles.csv:torso_angle_z:min:window=all,validated_mapping,411,0.8038796646391585,1,0.9999999999999998,0.0
max_shoulder_horizontal_abduction,full_signal:joint_angles.csv:shoulder_angle_x:max:window=all,validated_mapping,411,1.9495710943592408,2,1.0,0.0
max_rear_hip_flexion,full_signal:joint_angles.csv:rear_hip_angle_x:negative_min:window=all,validated_mapping,411,1.3170237038914945,1,1.0,0.0
elbow_varus_moment,full_signal:forces_moments.csv:elbow_moment_y:max:window=all,validated_mapping,411,3.7823022709475334,4,0.9970940215460082,0.0
shoulder_internal_rotation_moment,full_signal:forces_moments.csv:shoulder_upper_arm_moment_z:max:window=all,validated_mapping,411,3.829218106995885,4,0.9953115240148164,0.0
rear_grf_x_max,full_signal:force_plate.csv:rear_force_x:max,validated_mapping,403,1.5192736540299459,2,1.0,0.0
rear_grf_y_max,full_signal:force_plate.csv:rear_force_y:max,validated_mapping,403,0.10516880788766061,0,1.0,0.0
rear_grf_z_max,full_signal:force_plate.csv:rear_force_z:max,validated_mapping,403,1.2304990487340848,1,1.0,0.0
rear_grf_mag_max,full_signal:force_plate.csv:rear_force_mag:max,validated_mapping,403,1.3404296497000194,1,0.999999999999993,2.418442682028399e-05
lead_grf_x_max,full_signal:force_plate.csv:lead_force_x:max,validated_mapping,403,3.8088386433710157,4,1.0,0.0
lead_grf_y_max,full_signal:force_plate.csv:lead_force_y:max,validated_mapping,403,2.5905349794238677,3,0.9999999999999999,0.0
lead_grf_z_max,full_signal:force_plate.csv:lead_force_z:max,validated_mapping,403,3.903424056189639,4,0.9999999999999998,0.0
lead_grf_mag_max,full_signal:force_plate.csv:lead_force_mag:max,validated_mapping,403,3.866090712742979,4,0.9999999999999966,2.5014809352796874e-05
rear_grf_angle_at_max,same_time_as:rear_grf_mag_max,definition_linked,403,1.3404296497000194,1,,
lead_grf_angle_at_max,same_time_as:lead_grf_mag_max,definition_linked,403,3.866090712742979,4,,
peak_rfd_rear,proxy:max_d(rear_grf_magnitude)/dt,proxy_unverified_poi_algorithm,403,0.4726407613005552,0,,
peak_rfd_lead,proxy:max_d(lead_grf_magnitude)/dt,proxy_unverified_poi_algorithm,403,2.113168724279832,2,,
max_cog_velo_x,derived:landmarks:centerofmass_x:d/dt:max,derived_mapping,411,1.9720000000000002,2,0.998691183985107,0.0538740740742325
