source,source_label,source_stage,target,target_label,target_stage,n,sessions,raw_r,raw_p,cluster_beta,cluster_p,within_r,within_pearson_p,within_cluster_p,within_q,cluster_q,selected
torso_lateral_tilt_mer,Torso Lateral Tilt At Mer,MER / FP-BR aggregate,torso_lateral_tilt_br,Torso Lateral Tilt At Br,BR,411,100,0.9208987783203121,1.934375225627937e-169,0.9208987783203115,3.306173324479109e-131,0.8861009567918351,1.1466368897597812e-138,2.544098770306965e-226,6.01933769054628e-223,7.822406085717571e-128,True
torso_rotation_mer,Torso Rotation At Mer,MER / FP-BR aggregate,torso_rotation_br,Torso Rotation At Br,BR,411,100,0.8908016261056919,3.428188734243556e-142,0.8908016261056921,5.035318163514946e-84,0.7628450905503783,1.8091849453228348e-79,8.554271975524708e-48,6.746469164697154e-45,3.1659249604019206e-81,True
torso_anterior_tilt_mer,Torso Anterior Tilt At Mer (flexion +),MER / FP-BR aggregate,torso_anterior_tilt_br,Torso Anterior Tilt At Br (flexion +),BR,411,100,0.9342644642450735,2.8696147401563082e-185,0.934264464245074,1.3463420709314217e-116,0.7561315913306179,2.5214727678698477e-77,2.1388032115362283e-71,2.530204199247358e-68,1.592722669911872e-113,True
rear_grf_mag_max,Rear Grf Mag Max,PKH-FP,rear_grf_x_max,Rear Grf X Max,FP,403,100,0.8411999080624978,3.9634046167339283e-109,0.8411999080624983,5.352366796960136e-84,0.6329402213344874,1.6881350158909732e-46,0.00019259791137819494,0.0029590042748104495,3.1659249604019206e-81,True
torso_rotation_fp,Torso Rotation At Fp,FP,shoulder_transfer_fp_br,Shoulder Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.25587526488133655,1.4452381967713763e-07,-0.25587526488133644,0.021960747410600345,-0.5684016559315033,1.5268634275257243e-36,6.035166756962576e-11,1.0199431819266753e-08,0.13673454835126425,True
torso_rotation_fp,Torso Rotation At Fp,FP,thorax_distal_transfer_fp_br,Thorax Distal Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.26783921992906123,3.498215077050367e-08,-0.2678392199290611,0.010522530217297219,-0.5546645277413861,1.5692415207450735e-34,4.5354147944067054e-10,5.961550779759037e-08,0.08057057117839878,True
lead_knee_extension_angular_velo_max,Lead Knee Extension Angular Velocity Max,MER-BR,lead_knee_extension_angular_velo_br,Lead Knee Extension Angular Velocity At Br,BR,411,100,0.825225827249081,1.6017364257218338e-103,0.8252258272490808,2.5052743896774686e-56,0.5249271014332667,1.7574721912629694e-30,3.680839714408663e-08,3.2255062089966282e-06,1.1854958411953782e-53,True
pelvis_rotation_fp,Pelvis Rotation At Fp,FP,shoulder_transfer_fp_br,Shoulder Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.08832352026514699,0.07367310918335111,-0.08832352026514705,0.3972997524374028,-0.5124665148595051,6.696978659341209e-29,1.317307311778768e-07,8.657636387968236e-06,0.6797771323612469,True
max_elbow_flexion,Peak elbow flexion (+),FP-MER,max_elbow_extension_velo,Peak elbow extension velocity,MER-BR,411,100,0.4682098960968879,8.785048197280263e-24,0.4682098960968879,3.724997934699498e-07,0.5073717605010324,2.842852080425618e-28,4.866633253501504e-17,2.8786135694461396e-14,1.5462008971050897e-05,True
stride_length,Stride length,FP,lead_grf_x_max,Lead Grf X Max,MER / FP-BR aggregate,403,100,0.4953244199795298,2.4568038513406058e-26,0.49532441997952953,5.47119887686844e-09,0.5055694845437215,1.5500631157008193e-27,3.4180338118281015e-12,1.010883499848161e-09,3.3191939853001865e-07,True
lead_knee_extension_angular_velo_fp,Lead Knee Extension Angular Velocity At Fp,FP,lead_grf_x_max,Lead Grf X Max,MER / FP-BR aggregate,403,100,0.3532754523136495,2.7345838478435803e-13,0.35327545231364943,3.1170184540490665e-05,0.5034309596291753,2.7809663333456523e-27,7.554875494334854e-12,1.7874835419596266e-09,0.0007374865662280092,True
stride_angle,Stride angle (cross-body +),FP,torso_rotation_br,Torso Rotation At Br,BR,411,100,-0.3812852337445133,1.138440465026756e-15,-0.38128523374451323,5.360763436515094e-06,-0.5027621485531796,1.0299385502366506e-27,1.4785640915977396e-09,1.6658488765334533e-07,0.00016260982424095785,True
pelvis_rotation_fp,Pelvis Rotation At Fp,FP,thorax_distal_transfer_fp_br,Thorax Distal Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.07672054411570653,0.12044262687498027,-0.07672054411570656,0.4368735583427906,-0.5001227429826849,2.1336065222496916e-27,1.9792159913772313e-07,1.200724368102187e-05,0.7107688695809807,True
lead_knee_extension_angular_velo_fp,Lead Knee Extension Angular Velocity At Fp,FP,lead_grf_mag_max,Lead Grf Mag Max,MER / FP-BR aggregate,403,100,0.442478312255731,9.479440527940368e-21,0.44247831225573114,2.3681777113747843e-06,0.4808959438408118,1.030901249158914e-24,3.6637469131927596e-09,3.940193271188213e-07,8.120447050888029e-05,True
lead_knee_extension_angular_velo_fp,Lead Knee Extension Angular Velocity At Fp,FP,lead_knee_extension_from_fp_to_br,Lead Knee Extension From At Fp To At Br,MER / FP-BR aggregate,411,100,0.13794853891383999,0.005085974002648987,0.13794853891383993,0.3181509706990169,0.4806491282372106,3.799691631474472e-25,1.2888062533572931e-16,6.098631190886711e-14,0.6134842678678679,True
lead_knee_generation_fp_br,Lead Knee Generation Fp-Br,MER / FP-BR aggregate,lead_knee_extension_angular_velo_br,Lead Knee Extension Angular Velocity At Br,BR,403,100,0.5319995180760153,7.947591528212215e-31,0.5319995180760151,2.422772061709994e-07,0.4734728339485844,6.585879577804254e-24,3.2329416999289177e-07,1.561048992251392e-05,1.0442504315557222e-05,True
torso_lateral_tilt_fp,Torso Lateral Tilt At Fp,FP,shoulder_transfer_fp_br,Shoulder Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.0335310534691701,0.4978351868359833,-0.033531053469170076,0.7211279253914173,-0.45461240006780845,2.3564113237905e-22,2.81217141920498e-08,2.562065165049305e-06,0.8709487858479293,True
lead_knee_extension_angular_velo_fp,Lead Knee Extension Angular Velocity At Fp,FP,lead_grf_z_max,Lead Grf Z Max,MER / FP-BR aggregate,403,100,0.4274364199033108,2.4935607963383158e-19,0.427436419903311,2.4582423604786396e-05,0.4435291372292303,7.497403339280036e-21,1.1349094962229191e-07,7.897634906068903e-06,0.0006122317289360485,True
lead_knee_extension_from_fp_to_br,Lead Knee Extension From At Fp To At Br,MER / FP-BR aggregate,lead_knee_extension_angular_velo_max,Lead Knee Extension Angular Velocity Max,MER-BR,411,100,0.7310169611268341,6.95554875991229e-70,0.731016961126834,7.782297782579282e-31,0.43708065943030405,1.324408383462848e-20,3.6462747955388074e-13,1.4378476943741365e-10,2.6304166505117974e-28,True
torso_lateral_tilt_fp,Torso Lateral Tilt At Fp,FP,thorax_distal_transfer_fp_br,Thorax Distal Transfer Fp-Br,MER / FP-BR aggregate,411,100,0.018035729485645347,0.7154422470775542,0.018035729485645368,0.8440380383599542,-0.4349233748307495,2.1399585144345286e-20,1.2372797277136126e-07,8.364010959344021e-06,0.9328031947448128,True
rotation_hip_shoulder_separation_fp,Rotation Hip Shoulder Separation At Fp (separation +),FP,shoulder_transfer_fp_br,Shoulder Transfer Fp-Br,MER / FP-BR aggregate,411,100,0.30617258175256323,2.2814319468290904e-10,0.30617258175256296,0.0029700620831082693,0.41938824266496644,6.133752247088284e-19,2.4908382356026645e-07,1.3705402942874195e-05,0.03208752003942541,True
shoulder_external_rotation_fp,Shoulder External Rotation At Fp (external rotation +),FP,shoulder_transfer_fp_br,Shoulder Transfer Fp-Br,MER / FP-BR aggregate,411,100,-0.11773980963409683,0.01694049503236177,-0.11773980963409675,0.28291819727649414,-0.415797886409751,1.2999612825332403e-18,3.466959190184942e-05,0.0008149609639638304,0.5747944814301473,True
rotation_hip_shoulder_separation_fp,Rotation Hip Shoulder Separation At Fp (separation +),FP,thorax_distal_transfer_fp_br,Thorax Distal Transfer Fp-Br,MER / FP-BR aggregate,411,100,0.34500528775275235,6.239850599555217e-13,0.34500528775275224,0.0008098689868360915,0.4102279814011589,4.095358698061456e-18,1.523852984704178e-07,9.744422058946176e-06,0.011724582470999653,True
