separation_definition,outcome,term,beta,p
rotation_hip_shoulder_separation_fp,duration_z,mass_z,0.07257847259176856,0.4561638454804744
rotation_hip_shoulder_separation_fp,duration_z,rotation_hip_shoulder_separation_fp_z,0.3903551345359657,0.0001376461813885406
rotation_hip_shoulder_separation_fp,duration_z,torso_velo_z,-0.13066307412055095,0.19617081296801428
rotation_hip_shoulder_separation_fp,duration_z,sep_torso_interaction,0.09687254205070148,0.3559029894721659
rotation_hip_shoulder_separation_fp,power_z,mass_z,0.6484221083909847,1.7996818537251022e-12
rotation_hip_shoulder_separation_fp,power_z,rotation_hip_shoulder_separation_fp_z,-0.056568919268020726,0.4866733889859223
rotation_hip_shoulder_separation_fp,power_z,torso_velo_z,0.28167761536018976,0.0009782245239575678
rotation_hip_shoulder_separation_fp,power_z,sep_torso_interaction,-0.1799619422315198,0.039305001499924413
rotation_hip_shoulder_separation_fp,joint_high_score,mass_z,0.39002697469698244,6.580298427478247e-08
rotation_hip_shoulder_separation_fp,joint_high_score,rotation_hip_shoulder_separation_fp_z,0.15553255133094707,0.023135470866663333
rotation_hip_shoulder_separation_fp,joint_high_score,torso_velo_z,0.07509896862518112,0.27812804364680455
rotation_hip_shoulder_separation_fp,joint_high_score,sep_torso_interaction,-0.01651314710625161,0.8181472173076281
max_rotation_hip_shoulder_separation,duration_z,mass_z,0.07846118869195814,0.444793706036961
max_rotation_hip_shoulder_separation,duration_z,max_rotation_hip_shoulder_separation_z,0.22446020119971516,0.034994559618600804
max_rotation_hip_shoulder_separation,duration_z,torso_velo_z,-0.09561672602494964,0.37446728154079867
max_rotation_hip_shoulder_separation,duration_z,sep_torso_interaction,0.11953271236206567,0.3103233283242569
max_rotation_hip_shoulder_separation,power_z,mass_z,0.6431822446182133,3.0436811919413978e-12
max_rotation_hip_shoulder_separation,power_z,max_rotation_hip_shoulder_separation_z,-0.002375173386599927,0.977100455262788
max_rotation_hip_shoulder_separation,power_z,torso_velo_z,0.2683492111950716,0.0019629805591076348
max_rotation_hip_shoulder_separation,power_z,sep_torso_interaction,-0.17829407153706017,0.05603312762675956
max_rotation_hip_shoulder_separation,joint_high_score,mass_z,0.40033165023930173,6.87551656438987e-08
max_rotation_hip_shoulder_separation,joint_high_score,max_rotation_hip_shoulder_separation_z,0.0019909732699216476,0.9774323249809436
max_rotation_hip_shoulder_separation,joint_high_score,torso_velo_z,0.1183960571409679,0.10189740966734617
max_rotation_hip_shoulder_separation,joint_high_score,sep_torso_interaction,-0.039130054747071055,0.618837217025848
