user,n_pitches,pitch_speed_mph,session_height_m,session_mass_kg,age_yrs,rotation_hip_shoulder_separation_fp,max_rotation_hip_shoulder_separation,max_torso_rotational_velo,separation_closing_speed_fp_br
565,5,86.1,1.778,83.4624,23.98,37.537639999999996,41.966840000000005,1007.9719000000001,589.21118
572,5,77.62,1.7018,87.5448,24.1,18.227899999999998,20.149160000000002,1060.59152,295.33626
610,2,83.35,1.8034,88.452,26.95,36.102050000000006,38.944,1167.39165,595.4640999999999
625,3,85.60000000000001,1.8034,91.17360000000001,19.6,24.849100000000004,27.421466666666664,1082.4549666666667,481.75936666666666
738,2,88.35,1.7526,78.4728,21.49,28.57885,29.0539,1089.6413,368.0239
830,2,84.9,1.778,87.5448,22.83,42.1769,48.209599999999995,1114.5955,696.7103999999999
884,3,85.23333333333333,1.7526,91.17360000000001,22.5,9.833733333333333,24.7589,1031.4215666666666,511.29326666666674
890,4,80.05,1.8034,90.2664,20.34,27.6154,28.02245,1026.91245,299.97485
906,2,87.6,1.8034,99.3384,25.27,29.959400000000002,30.563200000000002,1043.09965,382.18045
919,3,70.23333333333333,1.6764,88.9056,23.05,14.824599999999998,15.098933333333333,970.0637999999999,251.19826666666665
927,3,78.39999999999999,1.7779999999999998,70.308,19.1,30.237133333333333,30.64663333333333,1002.1514999999999,290.5951333333333
956,3,82.53333333333333,1.7017999999999998,94.80239999999999,21.51,22.096099999999996,28.012166666666662,1090.8969,496.29946666666666
970,3,85.60000000000001,1.7526,81.648,22.87,21.64646666666667,21.838933333333333,1001.0259666666667,431.2930666666666
1005,5,85.08,1.8034,94.3488,19.58,26.563959999999998,31.69882,1106.24828,437.25996
1017,3,83.60000000000001,1.8034,79.38,20.74,24.1354,26.644333333333332,1058.3047666666666,419.3414333333333
1062,5,83.5,1.6764,84.3696,21.88,22.29306,23.590619999999998,973.7413399999999,460.82752
1539,5,86.03999999999999,1.7526,92.5344,19.18,32.280919999999995,40.557280000000006,1069.3253200000001,567.02814
1540,5,80.96000000000001,1.8034,83.916,20.61,23.54512,23.93002,996.927,485.32068
1584,5,79.34,1.778,82.1016,20.01,18.3364,22.607059999999997,1002.7330400000001,390.87420000000003
1605,5,83.55999999999999,1.778,87.9984,20.68,29.481659999999998,30.738580000000002,1204.10808,502.12836000000004
1606,5,85.56,1.8034,83.916,19.84,34.67138,35.48346,1134.52754,418.48086
1612,4,82.95,1.778,89.3592,19.09,27.07195,27.778575,991.6294,416.74135
1619,4,88.725,1.8034,78.9264,18.62,29.258375,33.679125,1364.847875,340.3517
1620,5,87.84,1.7526,82.5552,19.33,46.88612,49.5972,1058.33802,508.20414
1641,5,76.96000000000001,1.778,73.4832,20.09,21.2151,21.70534,1084.4181199999998,352.73213999999996
1644,4,83.45,1.7018,80.7408,20.96,30.5905,31.462025000000004,1113.189525,503.6132
1659,5,83.03999999999999,1.8034,85.2768,20.71,27.563119999999998,32.67526,1129.72432,497.23818
1689,4,82.0,1.7526,78.9264,22.71,28.317700000000002,28.890775,1110.780025,408.319975
1737,5,84.78,1.7526,83.916,22.85,24.60292,29.493240000000004,1166.91718,394.21144
