session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
1031_2,0.11950000000000016,462.04450100500026,214.88605635500022,247.15844465000006,-2.842170943040401e-14,214.88605635500022,0.0,247.53546550000007,-0.37702085000000873,713.6118091960788,4.510811110575077,-0.49718982977919096,-0.5841648825313357,3934.2429885564484,0.6136363636363636,0.38636363636363635,958.0878,32.3152,31.5769,1031,110.6784
1031_3,0.1139,451.5268512299999,211.63692791999998,239.88992331,-5.684341886080802e-14,211.63692791999998,0.0,240.1781641,-0.2882407900000029,721.8825617186851,4.392031491906203,-0.4490064490480821,-0.6817056734952615,3739.876920870065,0.6428571428571429,0.35714285714285715,969.5766,32.5547,31.2877,1031,110.6784
1097_1,0.1472,287.4009406749999,113.31589120999992,174.08504946499997,2.842170943040401e-14,113.31589120999992,0.0,174.27775050499994,-0.19270104000000168,532.8662295807707,4.135542590241738,-0.33285123948529705,-0.7475183720060076,2436.551189219402,0.16666666666666666,0.8333333333333334,1090.2269,33.1477,31.788,1097,101.1528
1097_2,0.1388999999999999,294.0682994849999,107.23274435999993,186.83555512499993,5.684341886080802e-14,107.23274435999993,0.0,187.51704036999996,-0.681485245000007,551.1638735010381,4.379288416483385,-0.29266966183568255,-0.7794285025133062,2620.5853538890337,0.13725490196078433,0.8627450980392157,1105.2275,27.9286,27.9139,1097,101.1528
1097_3,0.15279999999999994,291.84171556499984,113.58961082999988,178.25210473499993,2.842170943040401e-14,113.58961082999988,0.0,178.58069260999991,-0.328587874999997,570.4095601237914,4.1866773473323615,-0.2776965996065443,-0.3045927999446791,2436.87280237019,0.17857142857142858,0.8214285714285714,1110.485,28.9909,28.0449,1097,101.1528
1170_1,0.1361000000000001,302.14874367000004,142.16528979000012,159.98345387999998,-5.684341886080802e-14,142.16528979000012,0.0,160.3036448,-0.32019092000001553,450.7099160321847,4.389781454624005,-0.5726227234995214,-0.5578406343675574,2565.9129857828025,0.36,0.64,964.559,38.4456,38.4426,1170,82.1016
1170_2,0.13059999999999994,310.44836725,146.38641513999997,164.06195211,2.842170943040401e-14,146.38641513999997,0.0,164.31776794999996,-0.2558158399999921,468.65546890165257,4.496573283282202,-0.577895996138988,-0.6151098525351094,2708.833522761294,0.3125,0.6875,968.1194,37.9762,37.843,1170,82.1016
1250_1,0.10829999999999995,308.7690149349999,137.49172962499992,171.27728530999997,2.842170943040401e-14,137.49172962499992,0.0,179.57289316999996,-8.29560785999999,563.8682269574462,4.319572306177785,0.021505850994751642,-0.47360027299367835,2337.976060724447,0.4,0.6,1071.495,27.946,27.8401,1250,78.4728
1250_3,0.10549999999999993,320.603351985,140.51119680499994,180.09215518000005,2.842170943040401e-14,140.51119680499994,0.0,189.15380169000002,-9.061646509999974,588.7738492596909,4.33982684011,0.043510850810138176,-0.3039913274731386,2379.081094547923,0.38461538461538464,0.6153846153846154,1107.7876,30.1618,29.3176,1250,78.4728
1313_1,0.13050000000000006,278.99350902500004,99.89882341,179.094685615,2.842170943040401e-14,99.89882341,0.0,179.22770794000002,-0.1330223250000016,402.678486507188,4.189521337051205,-0.3650598403439722,-0.8113392631843395,2048.024236256137,0.10416666666666667,0.8958333333333334,1216.4581,39.9065,38.3033,1313,84.3696
1313_2,0.13060000000000005,287.1844085600001,103.99897994500003,183.185428615,8.526512829121202e-14,103.99897994500003,0.0,183.19184579500003,-0.006417180000000057,390.3825308001513,4.301251681111244,-0.386448832091127,-0.8051536735591394,2065.94593661804,0.0625,0.9375,1201.3612,39.7564,38.2129,1313,84.3696
1313_3,0.13060000000000005,292.0386024300001,109.41103575000004,182.62756668,2.842170943040401e-14,109.41103575000004,0.0,182.70650512,-0.07893844000000069,395.86041130354556,4.254579933112768,-0.3753345290833554,-0.8363898339080685,2056.806041902308,0.1875,0.8125,1190.8503,41.0581,39.2183,1313,84.3696
