,gated_stp_j,gated_jfp_j,positive_total_j,session_mass_kg,rotation_hip_shoulder_separation_fp,max_rotation_hip_shoulder_separation,max_torso_rotational_velo,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,thorax_limited_fraction
gated_stp_j,1.0,0.4601451077437424,0.8192603516745423,0.5421072109206972,0.3129721692925299,0.1845246497515918,0.08096974901522903,0.5533549370995741,-0.12380288252981386,-0.11428645847166588,0.4320963384883261
gated_jfp_j,0.4601451077437424,1.0,0.886087524185699,0.6631802415595165,0.23309271376257534,0.1837910396545704,0.05064070210561947,0.507506102684751,0.419331169545959,-0.1884759156626128,0.09122874778911166
positive_total_j,0.8192603516745423,0.886087524185699,1.0,0.7113395858948776,0.3139388611142027,0.21503814145785538,0.07497874891932023,0.6166681837107884,0.2061947822683585,-0.18139454785109166,0.28450610441353
session_mass_kg,0.5421072109206972,0.6631802415595165,0.7113395858948776,1.0,0.00119101195598199,0.009771775255754069,-0.213672843435778,0.6643155527633626,0.08519659931882206,-0.05140291259954526,0.22663914716129943
rotation_hip_shoulder_separation_fp,0.3129721692925299,0.23309271376257534,0.3139388611142027,0.00119101195598199,1.0,0.9223819744604054,0.2622232624240708,0.06508969969645863,-0.02419455113258833,-0.10908055067553582,-0.15217821405823814
max_rotation_hip_shoulder_separation,0.1845246497515918,0.1837910396545704,0.21503814145785538,0.009771775255754069,0.9223819744604054,1.0,0.2975392166055198,0.10559388165219095,0.05539781766948291,-0.10143949897712219,-0.2413571704342785
max_torso_rotational_velo,0.08096974901522903,0.05064070210561947,0.07497874891932023,-0.213672843435778,0.2622232624240708,0.2975392166055198,1.0,0.132356953551165,-0.061090795711328666,-0.1407735346952083,-0.32761684165604016
mean_force_n,0.5533549370995741,0.507506102684751,0.6166681837107884,0.6643155527633626,0.06508969969645863,0.10559388165219095,0.132356953551165,1.0,0.1854513198818074,-0.25183144790693485,0.21346006987795635
mean_shoulder_jc_speed_m_s,-0.12380288252981386,0.419331169545959,0.2061947822683585,0.08519659931882206,-0.02419455113258833,0.05539781766948291,-0.061090795711328666,0.1854513198818074,1.0,-0.14175000216510428,-0.03794686347114452
mean_force_velocity_alignment,-0.11428645847166588,-0.1884759156626128,-0.18139454785109166,-0.05140291259954526,-0.10908055067553582,-0.10143949897712219,-0.1407735346952083,-0.25183144790693485,-0.14175000216510428,1.0,-0.04979980925169575
thorax_limited_fraction,0.4320963384883261,0.09122874778911166,0.28450610441353,0.22663914716129943,-0.15217821405823814,-0.2413571704342785,-0.32761684165604016,0.21346006987795635,-0.03794686347114452,-0.04979980925169575,1.0
