outcome_type,outcome,power_predictor,model,n,r2,adjusted_r2,cv_r2_mean,cv_r2_sd
full_fp_br_stp,stp_j,stp_mean_power_w,mass,100,0.3280582754808128,0.32120172727143337,0.13205670069967376,0.4554339658359642
full_fp_br_stp,stp_j,stp_mean_power_w,mass_duration,100,0.34451510907646443,0.33099995668628845,0.11281053848734036,0.5006369627354251
full_fp_br_stp,stp_j,stp_mean_power_w,mass_power,100,0.7703553984887654,0.7656204582514204,0.6790896839082436,0.2287500481029019
full_fp_br_stp,stp_j,stp_mean_power_w,mass_duration_power,100,0.9828349747993383,0.9822985677618177,0.9696367337570294,0.04906885045464869
full_fp_br_jfp,jfp_j,jfp_mean_power_w,mass,100,0.22532724835475992,0.21742242435838,0.03515996152513095,0.42906102808449165
full_fp_br_jfp,jfp_j,jfp_mean_power_w,mass_duration,100,0.23375661667377845,0.21795778402787702,0.014523219104593739,0.43463220457934043
full_fp_br_jfp,jfp_j,jfp_mean_power_w,mass_power,100,0.8379400656975302,0.8345986237531494,0.7703121607435091,0.1977442590189407
full_fp_br_jfp,jfp_j,jfp_mean_power_w,mass_duration_power,100,0.9853054775557061,0.9848462737293219,0.9734425942448374,0.04605929627471173
reconstructed_total,reconstructed_total_j,total_mean_power_w,mass,100,0.3894976758923938,0.3832680603402755,0.23846365278343654,0.4661053240727294
reconstructed_total,reconstructed_total_j,total_mean_power_w,mass_duration,100,0.4064457825865424,0.394207551299667,0.21142587732470744,0.5149494006140228
reconstructed_total,reconstructed_total_j,total_mean_power_w,mass_power,100,0.7525653237111172,0.7474635778082537,0.6839711626181699,0.22014725148214528
reconstructed_total,reconstructed_total_j,total_mean_power_w,mass_duration_power,100,0.9802085535590955,0.9795900708578172,0.965539925903094,0.05983096975229833
official_total,official_total_j,total_mean_power_w,mass,100,0.46928000316358687,0.4638644929917868,0.3125788228121712,0.49408963277194257
official_total,official_total_j,total_mean_power_w,mass_duration,100,0.49109684794683883,0.4806039994508974,0.28997605514816976,0.5585824631376066
official_total,official_total_j,total_mean_power_w,mass_power,100,0.7339962448556154,0.7285116313474838,0.6523118091669651,0.23878615061783792
official_total,official_total_j,total_mean_power_w,mass_duration_power,100,0.9356266544301299,0.9336149873810715,0.8992748824989729,0.09670160017631674
