session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
1031_2,0.11950000000000016,462.04450100500026,462.04450100500026,3866.4811799581557,0.0,0.15280000000000005,471.6631303300001,411.6049203750002,3086.800591164921,60.05820995499994,0.9796069934101693,471.6631,1031,110.6784
1031_3,0.1139,451.5268512299999,451.5268512299999,3964.239255750658,0.0,0.1472,468.4176552950001,420.1439572650002,3182.1851582540767,48.27369802999988,0.9639407185573253,468.4177,1031,110.6784
1097_1,0.1472,287.4009406749999,281.2566851199999,1952.4520426290755,6.144255555000029,0.17779999999999996,307.98841760999994,290.42790097000005,1732.2183217660292,17.56051663999989,0.933155028702834,307.9884,1097,101.1528
1097_2,0.1388999999999999,294.0682994849999,290.3505433599999,2117.1223865010807,3.717756124999994,0.16939999999999988,309.23421719500004,297.02892304500006,1825.467633972847,12.205294149999986,0.9509565343461436,309.2342,1097,101.1528
1097_3,0.15279999999999994,291.84171556499984,285.04978805499985,1909.958871498691,6.791927509999994,0.18059999999999998,299.272465975,280.13087196000004,1657.101140503876,19.141594014999953,0.9751706178990055,299.2725,1097,101.1528
1170_1,0.1361000000000001,302.14874367000004,302.14874367000004,2220.049549375458,0.0,0.16670000000000007,303.31804201,277.3522169799999,1819.544343191361,25.965825030000076,0.9961449759722456,303.318,1170,82.1016
1170_2,0.13059999999999994,310.44836725,310.44836725,2377.0931642419614,0.0,0.1610999999999999,312.34412504500006,279.9025981350001,1938.8213845127264,32.441526909999936,0.9939305476140237,312.3441,1170,82.1016
1250_1,0.10829999999999995,308.7690149349999,308.7690149349999,2851.0527694829184,0.0,0.13890000000000002,316.574870895,276.4900103399999,2279.156737904967,40.08486055500009,0.9753427808785584,316.5749,1250,78.4728
1250_3,0.10549999999999993,320.603351985,320.603351985,3038.894331611377,0.0,0.1361,357.66083544000014,357.66083544000014,2627.9267850110223,0.0,0.8963893169644604,354.5257,1250,78.4728
1313_1,0.13050000000000006,278.99350902500004,278.99350902500004,2137.8812952107273,0.0,0.16110000000000002,284.49856347,271.896402355,1765.9749439478585,12.602161115000001,0.9806499745451949,284.4986,1313,84.3696
1313_2,0.13060000000000005,287.1844085600001,287.1844085600001,2198.961780704441,0.0,0.16110000000000002,296.414964825,284.651577485,1839.943915735568,11.763387340000008,0.9688593446337991,296.415,1313,84.3696
1313_3,0.13060000000000005,292.0386024300001,292.0386024300001,2236.130187059724,0.0,0.16110000000000002,304.203689015,283.97934934000006,1888.291055338299,20.224339674999953,0.9600100622566741,304.2037,1313,84.3696
1346_1,0.11119999999999997,246.08117789500002,246.08117789500002,2212.960232868706,0.0,0.14449999999999985,256.30505526499996,242.95032117000008,1773.7374066782022,13.354734094999884,0.9601105122197874,256.3051,1346,72.1224
1346_2,0.1137999999999999,248.12286861499987,248.12286861499987,2180.341551977154,0.0,0.14439999999999986,259.317244805,247.48699513500003,1795.825795048478,11.830249669999944,0.956831346876225,259.3172,1346,72.1224
1346_3,0.11669999999999991,247.44895518999985,247.44895518999985,2120.385220137104,0.0,0.1472000000000001,253.93542837,239.22044263999996,1725.1048122961945,14.714985730000052,0.974456210298671,253.9354,1346,72.1224
1370_1,0.11109999999999998,376.54928004,376.54928004,3389.282448604861,0.0,0.13880000000000003,388.61301396,381.12910397499996,2799.805576080691,7.483909985000025,0.9689569482064702,388.613,1370,104.328
1370_2,0.13049999999999995,385.40777220000007,385.40777220000007,2953.3162620689673,0.0,0.15549999999999997,395.25742058000003,388.168848215,2541.8483638585217,7.0885723650000045,0.9750804213478229,395.2574,1370,104.328
1370_3,0.10830000000000006,374.6353800050002,374.6353800050002,3459.2371191597413,0.0,0.1360999999999999,385.780849045,379.5804756900001,2834.539669691406,6.200373354999897,0.9711093252358419,385.7808,1370,104.328
1371_2,0.11660000000000004,365.71975229500015,365.71975229500015,3136.533038550601,0.0,0.15549999999999997,392.6408851,356.447609885,2525.021769131833,36.19327521499997,0.931435737268819,392.6409,1371,99.3384
1371_3,0.125,372.67660804999997,371.572252705,2981.4128643999998,1.1043553449999877,0.16110000000000002,397.3924147199999,363.0651279649998,2466.743728864059,34.3272867550001,0.937805036647681,397.3924,1371,99.3384
1393_1,0.11949999999999994,234.90999930999993,234.90999930999993,1965.7740528033478,0.0,0.15279999999999994,251.20611153000002,250.97882862500003,1644.0190545157077,0.22728290499998138,0.9351285200796003,251.1584,1393,88.9056
1393_2,0.12499999999999989,225.7651686049999,225.7651686049999,1806.1213488400008,0.0,0.1583,242.73138878500004,241.52929837500002,1533.3631635186357,1.202090410000011,0.9301028998971863,242.7314,1393,88.9056
1393_3,0.11389999999999989,220.5674119949998,220.5674119949998,1936.5005442932397,0.0,0.1472,232.99593873999999,229.39134679999998,1582.852844701087,3.604591940000006,0.9466577537264751,232.9959,1393,88.9056
