analysis,term,coefficient,standard_error,p,n_pitches,n_sessions
fp_mer_positive_transfer,session_mass_kg,0.1663766719899822,0.202255207816573,0.41073117283599114,411,100
fp_mer_positive_transfer,fp_mer_duration_s_between,2732.3307605440327,112.6014335601492,4.536397742974658e-130,411,100
fp_mer_positive_transfer,fp_mer_duration_s_within,2448.351855170855,102.02467135546982,2.9427528177689422e-127,411,100
fp_mer_positive_transfer,fp_mer_positive_mean_power_w_between,0.10774902300179076,0.003998126051578978,5.722570812909678e-160,411,100
fp_mer_positive_transfer,fp_mer_positive_mean_power_w_within,0.08607149375910736,0.004504619120800706,2.191785973014016e-81,411,100
fp_br_reconstructed_positive,session_mass_kg,0.15863889057736835,0.12050236756964051,0.1880131713662404,411,100
fp_br_reconstructed_positive,fp_br_duration_s_between,2185.661479648316,63.36520486364995,1.0184012573596863e-260,411,100
fp_br_reconstructed_positive,fp_br_duration_s_within,2347.2727014468574,50.60036192700105,0.0,411,100
fp_br_reconstructed_positive,fp_br_positive_mean_power_w_between,0.14153264315477104,0.0028350673210846933,0.0,411,100
fp_br_reconstructed_positive,fp_br_positive_mean_power_w_within,0.13789805624436252,0.0033782081836825446,0.0,411,100
fp_br_official,session_mass_kg,0.19704806082545465,0.1233118425142354,0.11005067205891457,411,100
fp_br_official,fp_br_duration_s_between,2182.125171748058,64.81730588009671,1.8322996314301598e-248,411,100
fp_br_official,fp_br_duration_s_within,2375.683939662048,62.68831455920662,0.0,411,100
fp_br_official,fp_br_positive_mean_power_w_between,0.14100622560741685,0.0029002842947956618,0.0,411,100
fp_br_official,fp_br_positive_mean_power_w_within,0.1358409380089989,0.004185230484530818,4.284469487211817e-231,411,100
