player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
664747,"Díaz, Alexis",Alexis Díaz,Pitcher,"6' 2""",74.0,215,93.5,7.64
607192,"Glasnow, Tyler",Tyler Glasnow,Pitcher,"6' 8""",80.0,537,95.7,7.61
669302,"Gilbert, Logan",Logan Gilbert,Pitcher,"6' 6""",78.0,795,95.4,7.59
694819,"Misiorowski, Jacob",Jacob Misiorowski,Pitcher,"6' 7""",79.0,642,99.3,7.58
801139,"Tolle, Payton",Payton Tolle,Pitcher,"6' 6""",78.0,195,96.7,7.53
605447,"Romano, Jordan",Jordan Romano,Pitcher,"6' 5""",77.0,258,95.5,7.52
801434,"Gervase, Paul",Paul Gervase,Pitcher,"6' 10""",82.0,80,93.8,7.51
642207,"Williams, Devin",Devin Williams,Pitcher,"6' 2""",74.0,529,94.1,7.48
676282,"Cantillo, Joey",Joey Cantillo,Pitcher,"6' 4""",76.0,687,91.7,7.45
608718,"Suter, Brent",Brent Suter,Pitcher,"6' 4""",76.0,471,87.3,7.45
663992,"Lovelady, Richard",Richard Lovelady,Pitcher,"6' 0""",72.0,28,91.7,7.43
663542,"Hudson, Bryan",Bryan Hudson,Pitcher,"6' 8""",80.0,211,90.5,7.42
691799,"Taylor, Grant",Grant Taylor,Pitcher,"6' 3""",75.0,338,98.7,7.41
671922,"Smith, Cade",Cade Smith,Pitcher,"6' 5""",77.0,826,96.4,7.4
670912,"Oviedo, Johan",Johan Oviedo,Pitcher,"6' 6""",78.0,246,95.5,7.36
689690,"Jacob, Alek",Alek Jacob,Pitcher,"6' 3""",75.0,247,85.3,7.36
687223,"Palmquist, Carson",Carson Palmquist,Pitcher,"6' 3""",75.0,370,90.4,7.35
687830,"Gipson-Long, Sawyer",Sawyer Gipson-Long,Pitcher,"6' 4""",76.0,131,92.8,7.35
621363,"Poche, Colin",Colin Poche,Pitcher,"6' 3""",75.0,175,92.2,7.35
641927,"Ober, Bailey",Bailey Ober,Pitcher,"6' 9""",81.0,846,90.3,7.32
554430,"Wheeler, Zack",Zack Wheeler,Pitcher,"6' 4""",76.0,979,96.1,7.28
687863,"Hodge, Porter",Porter Hodge,Pitcher,"6' 4""",76.0,314,96.0,7.28
687330,"Kelly, Kevin",Kevin Kelly,Pitcher,"6' 2""",74.0,50,92.1,7.27
547973,"Chapman, Aroldis",Aroldis Chapman,Pitcher,"6' 4""",76.0,365,98.4,7.27
663559,"Falter, Bailey",Bailey Falter,Pitcher,"6' 4""",76.0,992,92.1,7.25
681293,"Arrighetti, Spencer",Spencer Arrighetti,Pitcher,"6' 2""",74.0,196,93.1,7.24
621242,"Díaz, Edwin",Edwin Díaz,Pitcher,"6' 3""",75.0,561,97.2,7.23
656849,"Peterson, David",David Peterson,Pitcher,"6' 6""",78.0,603,92.3,7.22
681517,"Leahy, Kyle",Kyle Leahy,Pitcher,"6' 5""",77.0,408,95.4,7.19
640462,"Puk, A.J.",A.J. Puk,Pitcher,"6' 7""",79.0,97,96.4,7.17
680951,"Nikhazy, Doug",Doug Nikhazy,Pitcher,"6' 0""",72.0,50,90.2,7.17
656240,"Blewett, Scott",Scott Blewett,Pitcher,"6' 6""",78.0,256,93.4,7.15
682052,"Lopez, Jacob",Jacob Lopez,Pitcher,"6' 4""",76.0,587,90.8,7.15
680880,"Holman, Grant",Grant Holman,Pitcher,"6' 6""",78.0,179,94.6,7.14
656731,"Megill, Tylor",Tylor Megill,Pitcher,"6' 7""",79.0,522,95.4,7.14
663623,"Irvin, Jake",Jake Irvin,Pitcher,"6' 6""",78.0,941,92.4,7.13
670990,"Ramírez, Yohan",Yohan Ramírez,Pitcher,"6' 3""",75.0,270,96.4,7.13
685326,"Brown, McCade",McCade Brown,Pitcher,"6' 6""",78.0,286,94.3,7.13
571946,"Miller, Shelby",Shelby Miller,Pitcher,"6' 3""",75.0,435,95.2,7.11
664139,"Gibaut, Ian",Ian Gibaut,Pitcher,"6' 3""",75.0,199,94.0,7.09
680732,"Burke, Sean",Sean Burke,Pitcher,"6' 6""",78.0,1023,94.4,7.08
