player_id,statsapi_name,height_raw,height_in,position
671096,Andrew Abbott,"6' 0""",72.0,Pitcher
690953,Mick Abel,"6' 5""",77.0,Pitcher
691769,Philip Abner,"6' 1""",73.0,Pitcher
682928,CJ Abrams,"6' 0""",72.0,Shortstop
650556,Bryan Abreu,"6' 1""",73.0,Pitcher
677800,Wilyer Abreu,"5' 10""",70.0,Outfielder
691185,Maximo Acosta,"5' 11""",71.0,Shortstop
670183,Garrett Acton,"6' 2""",74.0,Pitcher
682668,Luisangel Acuña,"5' 7""",67.0,Shortstop
660670,Ronald Acuña Jr.,"6' 0""",72.0,Outfielder
592094,Jason Adam,"6' 3""",75.0,Pitcher
642715,Willy Adames,"6' 0""",72.0,Shortstop
677941,Jordyn Adams,"6' 1""",73.0,Outfielder
656180,Riley Adams,"6' 4""",76.0,Catcher
701519,Travis Adams,"6' 1""",73.0,Pitcher
686654,Ty Adcock,"6' 0""",72.0,Pitcher
666176,Jo Adell,"6' 2""",74.0,Outfielder
688642,Zach Agnos,"6' 0""",72.0,Pitcher
605113,Nick Ahmed,"6' 1""",73.0,Shortstop
669211,Keegan Akin,"6' 0""",72.0,Pitcher
645277,Ozzie Albies,"5' 7""",67.0,Second Base
660896,Jorge Alcala,"6' 3""",75.0,Pitcher
682634,Kevin Alcántara,"6' 6""",78.0,Designated Hitter
645261,Sandy Alcantara,"6' 5""",77.0,Pitcher
642727,Sergio Alcántara,"5' 10""",70.0,Shortstop
691951,Sam Aldegheri,"6' 1""",73.0,Pitcher
677942,Blaze Alexander,"5' 11""",71.0,Third Base
680769,CJ Alexander,"6' 3""",75.0,First Base
669920,Jason Alexander,"6' 2""",74.0,Pitcher
518397,Scott Alexander,"6' 2""",74.0,Pitcher
641302,Tyler Alexander,"6' 1""",73.0,Pitcher
595751,Jorge Alfaro,"6' 1""",73.0,Catcher
663465,Kolby Allard,"6' 1""",73.0,Pitcher
656185,Greg Allen,"5' 10""",70.0,Outfielder
671106,Logan Allen,"6' 0""",72.0,Pitcher
669397,Nick Allen,"5' 7""",67.0,Shortstop
624413,Pete Alonso,"6' 3""",75.0,First Base
656186,Dan Altavilla,"5' 11""",71.0,Pitcher
514888,Jose Altuve,"5' 6""",66.0,Second Base
665660,Elvis Alvarado,"6' 6""",78.0,Pitcher
621237,José Alvarado,"6' 2""",74.0,Pitcher
682626,Francisco Alvarez,"5' 10""",70.0,Catcher
805373,Nacho Alvarez Jr.,"5' 10""",70.0,Shortstop
674841,Andrew Alvarez,"6' 3""",75.0,Pitcher
670541,Yordan Alvarez,"6' 4""",76.0,Designated Hitter
691182,Adael Amador,"5' 11""",71.0,Second Base
676070,Jacob Amaya,"5' 10""",70.0,Shortstop
665804,Miguel Amaya,"6' 1""",73.0,Catcher
681982,Grant Anderson,"6' 0""",72.0,Pitcher
666120,Ian Anderson,"6' 3""",75.0,Pitcher
623433,Nick Anderson,"6' 4""",76.0,Pitcher
641312,Shaun Anderson,"6' 6""",78.0,Pitcher
641313,Tim Anderson,"6' 0""",72.0,Shortstop
542881,Tyler Anderson,"6' 2""",74.0,Pitcher
609280,Miguel Andujar,"6' 0""",72.0,Designated Hitter
701350,Roman Anthony,"6' 3""",75.0,Outfielder
666018,Jonathan Aranda,"6' 0""",72.0,First Base
606115,Orlando Arcia,"5' 11""",71.0,Shortstop
571448,Nolan Arenado,"6' 2""",74.0,Third Base
672356,Gabriel Arias,"6' 1""",73.0,Third Base
678215,Luarbert Arias,"6' 2""",74.0,Pitcher
542888,Shawn Armstrong,"6' 2""",74.0,Pitcher
668227,Randy Arozarena,"5' 10""",70.0,Outfielder
650333,Luis Arraez,"5' 10""",70.0,Second Base
681293,Spencer Arrighetti,"6' 2""",74.0,Pitcher
676879,Aaron Ashby,"6' 0""",72.0,Pitcher
677952,Braxton Ashcraft,"6' 5""",77.0,Pitcher
668933,Graham Ashcraft,"6' 2""",74.0,Pitcher
665871,Javier Assad,"6' 1""",73.0,Pitcher
682183,Drew Avans,"5' 9""",69.0,Outfielder
679883,Luinder Avila,"6' 3""",75.0,Pitcher
640492,José Azócar,"5' 11""",71.0,Outfielder
669199,Lake Bachar,"6' 2""",74.0,Pitcher
696147,Sam Bachman,"6' 1""",73.0,Pitcher
679775,Kyle Backhus,"6' 4""",76.0,Pitcher
668731,Akil Baddoo,"5' 11""",71.0,Outfielder
664056,Harrison Bader,"5' 11""",71.0,Outfielder
678225,Jihwan Bae,"5' 11""",71.0,Outfielder
595879,Javier Báez,"5' 11""",71.0,Shortstop
672275,Patrick Bailey,"6' 0""",72.0,Catcher
641329,Bryan Baker,"6' 6""",78.0,Pitcher
663609,Luken Baker,"6' 4""",76.0,First Base
686948,Drake Baldwin,"6' 0""",72.0,Catcher
681460,Brooks Baldwin,"6' 1""",73.0,Outfielder
694208,Moisés Ballesteros,"5' 8""",68.0,Designated Hitter
607455,Anthony Banda,"6' 2""",74.0,Pitcher
677943,Will Banfield,"6' 0""",72.0,Catcher
621383,Tanner Banks,"6' 1""",73.0,Pitcher
675915,David Bañuelos,"5' 9""",69.0,Catcher
682995,Hunter Barco,"6' 4""",76.0,Pitcher
680718,Addison Barger,"5' 11""",71.0,Outfielder
605130,Scott Barlow,"6' 3""",75.0,Pitcher
605131,Austin Barnes,"5' 9""",69.0,Catcher
606930,Jacob Barnes,"6' 2""",74.0,Pitcher
686930,Mason Barnett,"6' 0""",72.0,Pitcher
571466,Tucker Barnhart,"5' 8""",68.0,Catcher
676480,José Barrero,"6' 4""",76.0,Shortstop
678489,Jorge Barrosa,"5' 6""",66.0,Outfielder
663698,Joey Bart,"6' 2""",74.0,Catcher
694212,Samuel Basallo,"6' 4""",76.0,Catcher
605135,Chris Bassitt,"6' 5""",77.0,Pitcher
669620,Brady Basso,"6' 2""",74.0,Pitcher
683146,Brett Baty,"6' 3""",75.0,Third Base
641343,Jake Bauers,"6' 0""",72.0,First Base
642585,Félix Bautista,"6' 8""",80.0,Pitcher
669358,Shane Baz,"6' 3""",75.0,Pitcher
660825,Eduard Bazardo,"6' 0""",72.0,Pitcher
687637,Dylan Beavers,"6' 5""",77.0,Outfielder
687597,Jordan Beck,"6' 2""",74.0,Outfielder
663941,Tristan Beck,"6' 4""",76.0,Pitcher
670280,David Bednar,"6' 1""",73.0,Pitcher
656222,Jalen Beeks,"5' 11""",71.0,Pitcher
690925,Clayton Beeter,"6' 2""",74.0,Pitcher
605137,Josh Bell,"6' 3""",75.0,Designated Hitter
641355,Cody Bellinger,"6' 3""",75.0,Outfielder
678394,Brayan Bello,"6' 1""",73.0,Pitcher
678368,Valente Bellozo,"5' 10""",70.0,Pitcher
669622,Anthony Bender,"6' 4""",76.0,Pitcher
643217,Andrew Benintendi,"5' 9""",69.0,Designated Hitter
666181,Will Benson,"6' 4""",76.0,Outfielder
686701,Ryan Bergert,"6' 1""",73.0,Pitcher
