task_id,display_order,session_pitch,pitcher_id,p_throws,filename_new,c3d_path,active_label_fields,active
pitch_1,1,2730_5,000976,R,000976_002730_74_198_006_FF_816.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000976\000976_002730_74_198_006_FF_816.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_2,2,3132_4,001002,L,001002_003132_72_216_005_FF_918.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001002\001002_003132_72_216_005_FF_918.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_3,3,3034_2,000002,R,000002_003034_73_207_005_FF_814.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000002\000002_003034_73_207_005_FF_814.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_4,4,2996_2,000072,R,000072_002996_76_229_005_FF_894.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000072\000072_002996_76_229_005_FF_894.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_5,5,3037_1,000964,R,000964_003037_74_208_003_FF_895.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000964\000964_003037_74_208_003_FF_895.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_6,6,2760_1,001557,R,001557_002760_73_182_002_FF_842.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001557\001557_002760_73_182_002_FF_842.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_7,7,3036_2,001685,L,001685_003036_73_200_002_FF_864.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001685\001685_003036_73_200_002_FF_864.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_8,8,2840_1,001562,L,001562_002840_76_187_006_FF_821.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001562\001562_002840_76_187_006_FF_821.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_9,9,1718_2,001000,L,001000_001718_75_215_006_FF_908.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001000\001000_001718_75_215_006_FF_908.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_10,10,1250_3,000738,L,000738_001250_69_173_010_FF_886.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000738\000738_001250_69_173_010_FF_886.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
