session_pitch,motion_path,frames,bytes
2730_5,web_motion/2730_5.json,198,583936
3132_4,web_motion/3132_4.json,207,604372
3034_2,web_motion/3034_2.json,240,706289
2996_2,web_motion/2996_2.json,204,600860
3037_1,web_motion/3037_1.json,252,741364
2760_1,web_motion/2760_1.json,197,578726
3036_2,web_motion/3036_2.json,198,581784
2840_1,web_motion/2840_1.json,194,573081
1718_2,web_motion/1718_2.json,223,652000
1250_3,web_motion/1250_3.json,112,329037
3065_3,web_motion/3065_3.json,179,526845
3140_1,web_motion/3140_1.json,152,446116
1601_3,web_motion/1601_3.json,214,629287
1601_1,web_motion/1601_1.json,273,801099
3252_2,web_motion/3252_2.json,218,639617
3222_2,web_motion/3222_2.json,172,505633
2996_4,web_motion/2996_4.json,208,612290
2996_1,web_motion/2996_1.json,223,656502
2891_2,web_motion/2891_2.json,213,625514
3037_3,web_motion/3037_3.json,235,690932
3065_4,web_motion/3065_4.json,171,503582
1601_2,web_motion/1601_2.json,255,748589
3065_2,web_motion/3065_2.json,181,532840
3222_5,web_motion/3222_5.json,160,469401
2918_1,web_motion/2918_1.json,177,521697
3036_1,web_motion/3036_1.json,212,623102
1718_1,web_motion/1718_1.json,214,626202
3140_3,web_motion/3140_3.json,143,418949
2891_5,web_motion/2891_5.json,208,610463
1778_2,web_motion/1778_2.json,132,389540
3132_3,web_motion/3132_3.json,204,596002
2730_2,web_motion/2730_2.json,203,597698
2891_1,web_motion/2891_1.json,224,657935
1718_3,web_motion/1718_3.json,213,623085
2918_5,web_motion/2918_5.json,169,498200
2730_1,web_motion/2730_1.json,194,571944
1778_1,web_motion/1778_1.json,124,365935
3140_4,web_motion/3140_4.json,156,456790
2655_2,web_motion/2655_2.json,155,453336
2760_4,web_motion/2760_4.json,171,501917
2918_4,web_motion/2918_4.json,180,529502
3132_5,web_motion/3132_5.json,189,551995
2655_5,web_motion/2655_5.json,168,491692
2655_4,web_motion/2655_4.json,170,497692
2760_2,web_motion/2760_2.json,162,475338
1668_1,web_motion/1668_1.json,171,502952
3252_4,web_motion/3252_4.json,199,584401
3222_4,web_motion/3222_4.json,158,463812
2840_4,web_motion/2840_4.json,219,647093
1668_2,web_motion/1668_2.json,196,576749
3252_3,web_motion/3252_3.json,226,663187
3037_5,web_motion/3037_5.json,264,777063
1668_3,web_motion/1668_3.json,170,498227
1250_1,web_motion/1250_1.json,114,334780
2840_2,web_motion/2840_2.json,213,628620
3036_4,web_motion/3036_4.json,191,561214
3034_5,web_motion/3034_5.json,223,656956
3034_3,web_motion/3034_3.json,224,659738
